"","reg","deaths","date","year","weekno"
"127","London",731,2010-04-02,2010,14
"128","South East",1174,2010-04-02,2010,14
"129","South West",921,2010-04-02,2010,14
"130","Wales",501,2010-04-02,2010,14
"131","North East",517,2010-04-09,2010,15
"132","North West",1357,2010-04-09,2010,15
"133","Yorkshire and The Humber",937,2010-04-09,2010,15
"134","East Midlands",850,2010-04-09,2010,15
"135","West Midlands",1010,2010-04-09,2010,15
"136","East",1002,2010-04-09,2010,15
"137","London",981,2010-04-09,2010,15
"138","South East",1473,2010-04-09,2010,15
"139","South West",991,2010-04-09,2010,15
"140","Wales",608,2010-04-09,2010,15
"141","North East",516,2010-04-16,2010,16
"142","North West",1369,2010-04-16,2010,16
"143","Yorkshire and The Humber",995,2010-04-16,2010,16
"144","East Midlands",794,2010-04-16,2010,16
"145","West Midlands",998,2010-04-16,2010,16
"146","East",1068,2010-04-16,2010,16
"147","London",950,2010-04-16,2010,16
"148","South East",1476,2010-04-16,2010,16
"149","South West",1056,2010-04-16,2010,16
"150","Wales",639,2010-04-16,2010,16
"151","North East",486,2010-04-23,2010,17
"152","North West",1328,2010-04-23,2010,17
"153","Yorkshire and The Humber",880,2010-04-23,2010,17
"154","East Midlands",782,2010-04-23,2010,17
"155","West Midlands",971,2010-04-23,2010,17
"156","East",1048,2010-04-23,2010,17
"157","London",918,2010-04-23,2010,17
"158","South East",1438,2010-04-23,2010,17
"159","South West",1019,2010-04-23,2010,17
"160","Wales",557,2010-04-23,2010,17
"161","North East",516,2010-04-30,2010,18
"162","North West",1252,2010-04-30,2010,18
"163","Yorkshire and The Humber",964,2010-04-30,2010,18
"164","East Midlands",759,2010-04-30,2010,18
"165","West Midlands",994,2010-04-30,2010,18
"166","East",1021,2010-04-30,2010,18
"167","London",916,2010-04-30,2010,18
"168","South East",1443,2010-04-30,2010,18
"169","South West",999,2010-04-30,2010,18
"170","Wales",616,2010-04-30,2010,18
"171","North East",444,2010-05-07,2010,19
"172","North West",1150,2010-05-07,2010,19
"173","Yorkshire and The Humber",870,2010-05-07,2010,19
"174","East Midlands",660,2010-05-07,2010,19
"175","West Midlands",821,2010-05-07,2010,19
"176","East",899,2010-05-07,2010,19
"177","London",797,2010-05-07,2010,19
"178","South East",1252,2010-05-07,2010,19
"179","South West",872,2010-05-07,2010,19
"180","Wales",555,2010-05-07,2010,19
"181","North East",516,2010-05-14,2010,20
"182","North West",1276,2010-05-14,2010,20
"183","Yorkshire and The Humber",944,2010-05-14,2010,20
"184","East Midlands",812,2010-05-14,2010,20
"185","West Midlands",935,2010-05-14,2010,20
"186","East",937,2010-05-14,2010,20
"187","London",963,2010-05-14,2010,20
"188","South East",1463,2010-05-14,2010,20
"189","South West",1055,2010-05-14,2010,20
"190","Wales",565,2010-05-14,2010,20
"191","North East",502,2010-05-21,2010,21
"192","North West",1248,2010-05-21,2010,21
"193","Yorkshire and The Humber",896,2010-05-21,2010,21
"194","East Midlands",757,2010-05-21,2010,21
"195","West Midlands",930,2010-05-21,2010,21
"196","East",964,2010-05-21,2010,21
"197","London",916,2010-05-21,2010,21
"198","South East",1401,2010-05-21,2010,21
"199","South West",965,2010-05-21,2010,21
"200","Wales",591,2010-05-21,2010,21
"201","North East",474,2010-05-28,2010,22
"202","North West",1292,2010-05-28,2010,22
"203","Yorkshire and The Humber",983,2010-05-28,2010,22
"204","East Midlands",782,2010-05-28,2010,22
"205","West Midlands",962,2010-05-28,2010,22
"206","East",1033,2010-05-28,2010,22
"207","London",939,2010-05-28,2010,22
"208","South East",1415,2010-05-28,2010,22
"209","South West",978,2010-05-28,2010,22
"210","Wales",563,2010-05-28,2010,22
"211","North East",457,2010-06-04,2010,23
"212","North West",1145,2010-06-04,2010,23
"213","Yorkshire and The Humber",827,2010-06-04,2010,23
"214","East Midlands",661,2010-06-04,2010,23
"215","West Midlands",807,2010-06-04,2010,23
"216","East",845,2010-06-04,2010,23
"217","London",848,2010-06-04,2010,23
"218","South East",1202,2010-06-04,2010,23
"219","South West",831,2010-06-04,2010,23
"220","Wales",541,2010-06-04,2010,23
"221","North East",539,2010-06-11,2010,24
"222","North West",1268,2010-06-11,2010,24
"223","Yorkshire and The Humber",902,2010-06-11,2010,24
"224","East Midlands",795,2010-06-11,2010,24
"225","West Midlands",931,2010-06-11,2010,24
"226","East",962,2010-06-11,2010,24
"227","London",908,2010-06-11,2010,24
"228","South East",1413,2010-06-11,2010,24
"229","South West",927,2010-06-11,2010,24
"230","Wales",591,2010-06-11,2010,24
"231","North East",450,2010-06-18,2010,25
"232","North West",1118,2010-06-18,2010,25
"233","Yorkshire and The Humber",834,2010-06-18,2010,25
"234","East Midlands",664,2010-06-18,2010,25
"235","West Midlands",894,2010-06-18,2010,25
"236","East",908,2010-06-18,2010,25
"237","London",812,2010-06-18,2010,25
"238","South East",1299,2010-06-18,2010,25
"239","South West",988,2010-06-18,2010,25
"240","Wales",525,2010-06-18,2010,25
"241","North East",464,2010-06-25,2010,26
"242","North West",1157,2010-06-25,2010,26
"243","Yorkshire and The Humber",863,2010-06-25,2010,26
"244","East Midlands",715,2010-06-25,2010,26
"245","West Midlands",894,2010-06-25,2010,26
