"","reg","deaths","date","year","weekno"
"1145","West Midlands",985,2012-03-16,2012,11
"1146","East",1065,2012-03-16,2012,11
"1147","London",1002,2012-03-16,2012,11
"1148","South East",1645,2012-03-16,2012,11
"1149","South West",1043,2012-03-16,2012,11
"1150","Wales",610,2012-03-16,2012,11
"1151","North East",507,2012-03-23,2012,12
"1152","North West",1315,2012-03-23,2012,12
"1153","Yorkshire and The Humber",985,2012-03-23,2012,12
"1154","East Midlands",804,2012-03-23,2012,12
"1155","West Midlands",961,2012-03-23,2012,12
"1156","East",1094,2012-03-23,2012,12
"1157","London",941,2012-03-23,2012,12
"1158","South East",1545,2012-03-23,2012,12
"1159","South West",1052,2012-03-23,2012,12
"1160","Wales",637,2012-03-23,2012,12
"1161","North East",487,2012-03-30,2012,13
"1162","North West",1363,2012-03-30,2012,13
"1163","Yorkshire and The Humber",892,2012-03-30,2012,13
"1164","East Midlands",830,2012-03-30,2012,13
"1165","West Midlands",935,2012-03-30,2012,13
"1166","East",1036,2012-03-30,2012,13
"1167","London",935,2012-03-30,2012,13
"1168","South East",1516,2012-03-30,2012,13
"1169","South West",1029,2012-03-30,2012,13
"1170","Wales",593,2012-03-30,2012,13
"1171","North East",450,2012-04-06,2012,14
"1172","North West",1181,2012-04-06,2012,14
"1173","Yorkshire and The Humber",827,2012-04-06,2012,14
"1174","East Midlands",739,2012-04-06,2012,14
"1175","West Midlands",827,2012-04-06,2012,14
"1176","East",880,2012-04-06,2012,14
"1177","London",817,2012-04-06,2012,14
"1178","South East",1326,2012-04-06,2012,14
"1179","South West",857,2012-04-06,2012,14
"1180","Wales",596,2012-04-06,2012,14
"1181","North East",512,2012-04-13,2012,15
"1182","North West",1445,2012-04-13,2012,15
"1183","Yorkshire and The Humber",969,2012-04-13,2012,15
"1184","East Midlands",829,2012-04-13,2012,15
"1185","West Midlands",972,2012-04-13,2012,15
"1186","East",1097,2012-04-13,2012,15
"1187","London",967,2012-04-13,2012,15
"1188","South East",1488,2012-04-13,2012,15
"1189","South West",1030,2012-04-13,2012,15
"1190","Wales",662,2012-04-13,2012,15
"1191","North East",584,2012-04-20,2012,16
"1192","North West",1496,2012-04-20,2012,16
"1193","Yorkshire and The Humber",1034,2012-04-20,2012,16
"1194","East Midlands",913,2012-04-20,2012,16
"1195","West Midlands",1136,2012-04-20,2012,16
"1196","East",1153,2012-04-20,2012,16
"1197","London",977,2012-04-20,2012,16
"1198","South East",1673,2012-04-20,2012,16
"1199","South West",1183,2012-04-20,2012,16
"1200","Wales",644,2012-04-20,2012,16
"1201","North East",556,2012-04-27,2012,17
"1202","North West",1306,2012-04-27,2012,17
"1203","Yorkshire and The Humber",1024,2012-04-27,2012,17
"1204","East Midlands",879,2012-04-27,2012,17
"1205","West Midlands",1051,2012-04-27,2012,17
"1206","East",1108,2012-04-27,2012,17
"1207","London",942,2012-04-27,2012,17
"1208","South East",1597,2012-04-27,2012,17
"1209","South West",1092,2012-04-27,2012,17
"1210","Wales",655,2012-04-27,2012,17
"1211","North East",538,2012-05-04,2012,18
"1212","North West",1392,2012-05-04,2012,18
"1213","Yorkshire and The Humber",964,2012-05-04,2012,18
"1214","East Midlands",852,2012-05-04,2012,18
"1215","West Midlands",1070,2012-05-04,2012,18
"1216","East",1066,2012-05-04,2012,18
"1217","London",903,2012-05-04,2012,18
"1218","South East",1487,2012-05-04,2012,18
"1219","South West",1051,2012-05-04,2012,18
"1220","Wales",609,2012-05-04,2012,18
"1221","North East",441,2012-05-11,2012,19
"1222","North West",1255,2012-05-11,2012,19
"1223","Yorkshire and The Humber",820,2012-05-11,2012,19
"1224","East Midlands",786,2012-05-11,2012,19
"1225","West Midlands",876,2012-05-11,2012,19
"1226","East",950,2012-05-11,2012,19
"1227","London",844,2012-05-11,2012,19
"1228","South East",1378,2012-05-11,2012,19
"1229","South West",909,2012-05-11,2012,19
"1230","Wales",590,2012-05-11,2012,19
"1231","North East",505,2012-05-18,2012,20
"1232","North West",1347,2012-05-18,2012,20
"1233","Yorkshire and The Humber",1012,2012-05-18,2012,20
"1234","East Midlands",805,2012-05-18,2012,20
"1235","West Midlands",1090,2012-05-18,2012,20
"1236","East",1027,2012-05-18,2012,20
"1237","London",907,2012-05-18,2012,20
"1238","South East",1457,2012-05-18,2012,20
"1239","South West",1094,2012-05-18,2012,20
"1240","Wales",636,2012-05-18,2012,20
"1241","North East",505,2012-05-25,2012,21
"1242","North West",1383,2012-05-25,2012,21
"1243","Yorkshire and The Humber",933,2012-05-25,2012,21
"1244","East Midlands",747,2012-05-25,2012,21
"1245","West Midlands",965,2012-05-25,2012,21
"1246","East",1007,2012-05-25,2012,21
"1247","London",924,2012-05-25,2012,21
"1248","South East",1497,2012-05-25,2012,21
"1249","South West",1019,2012-05-25,2012,21
"1250","Wales",603,2012-05-25,2012,21
"1251","North East",514,2012-06-01,2012,22
"1252","North West",1310,2012-06-01,2012,22
"1253","Yorkshire and The Humber",978,2012-06-01,2012,22
"1254","East Midlands",783,2012-06-01,2012,22
"1255","West Midlands",945,2012-06-01,2012,22
"1256","East",1026,2012-06-01,2012,22
"1257","London",888,2012-06-01,2012,22
"1258","South East",1478,2012-06-01,2012,22
"1259","South West",1051,2012-06-01,2012,22
"1260","Wales",605,2012-06-01,2012,22
"1261","North East",362,2012-06-08,2012,23
"1262","North West",984,2012-06-08,2012,23
"1263","Yorkshire and The Humber",714,2012-06-08,2012,23
"1264","East Midlands",557,2012-06-08,2012,23
"1265","West Midlands",647,2012-06-08,2012,23
"1266","East",660,2012-06-08,2012,23
"1267","London",663,2012-06-08,2012,23
"1268","South East",953,2012-06-08,2012,23
"1269","South West",733,2012-06-08,2012,23
"1270","Wales",489,2012-06-08,2012,23
"1271","North East",539,2012-06-15,2012,24
"1272","North West",1360,2012-06-15,2012,24
"1273","Yorkshire and The Humber",1000,2012-06-15,2012,24
"1274","East Midlands",853,2012-06-15,2012,24
"1275","West Midlands",1116,2012-06-15,2012,24
"1276","East",1082,2012-06-15,2012,24
"1277","London",961,2012-06-15,2012,24
"1278","South East",1515,2012-06-15,2012,24
"1279","South West",1090,2012-06-15,2012,24
"1280","Wales",630,2012-06-15,2012,24
"1281","North East",482,2012-06-22,2012,25
"1282","North West",1255,2012-06-22,2012,25
"1283","Yorkshire and The Humber",861,2012-06-22,2012,25
"1284","East Midlands",757,2012-06-22,2012,25
"1285","West Midlands",960,2012-06-22,2012,25
"1286","East",942,2012-06-22,2012,25
"1287","London",827,2012-06-22,2012,25
"1288","South East",1441,2012-06-22,2012,25
"1289","South West",950,2012-06-22,2012,25
"1290","Wales",559,2012-06-22,2012,25
"1291","North East",508,2012-06-29,2012,26
"1292","North West",1203,2012-06-29,2012,26
"1293","Yorkshire and The Humber",894,2012-06-29,2012,26
"1294","East Midlands",810,2012-06-29,2012,26
"1295","West Midlands",896,2012-06-29,2012,26
"1296","East",931,2012-06-29,2012,26
"1297","London",835,2012-06-29,2012,26
"1298","South East",1297,2012-06-29,2012,26
"1299","South West",955,2012-06-29,2012,26
"1300","Wales",509,2012-06-29,2012,26
"1301","North East",478,2012-07-06,2012,27
"1302","North West",1184,2012-07-06,2012,27
"1303","Yorkshire and The Humber",923,2012-07-06,2012,27
"1304","East Midlands",738,2012-07-06,2012,27
"1305","West Midlands",927,2012-07-06,2012,27
"1306","East",975,2012-07-06,2012,27
"1307","London",796,2012-07-06,2012,27
"1308","South East",1365,2012-07-06,2012,27
"1309","South West",933,2012-07-06,2012,27
"1310","Wales",573,2012-07-06,2012,27
"1311","North East",441,2012-07-13,2012,28
"1312","North West",1218,2012-07-13,2012,28
"1313","Yorkshire and The Humber",828,2012-07-13,2012,28
"1314","East Midlands",738,2012-07-13,2012,28
"1315","West Midlands",898,2012-07-13,2012,28
"1316","East",944,2012-07-13,2012,28
"1317","London",865,2012-07-13,2012,28
"1318","South East",1254,2012-07-13,2012,28
"1319","South West",973,2012-07-13,2012,28
"1320","Wales",572,2012-07-13,2012,28
"1321","North East",459,2012-07-20,2012,29
"1322","North West",1217,2012-07-20,2012,29
"1323","Yorkshire and The Humber",889,2012-07-20,2012,29
"1324","East Midlands",730,2012-07-20,2012,29
"1325","West Midlands",909,2012-07-20,2012,29
"1326","East",815,2012-07-20,2012,29
"1327","London",827,2012-07-20,2012,29
"1328","South East",1311,2012-07-20,2012,29
"1329","South West",943,2012-07-20,2012,29
"1330","Wales",567,2012-07-20,2012,29
"1331","North East",496,2012-07-27,2012,30
"1332","North West",1204,2012-07-27,2012,30
"1333","Yorkshire and The Humber",937,2012-07-27,2012,30
"1334","East Midlands",718,2012-07-27,2012,30
"1335","West Midlands",896,2012-07-27,2012,30
"1336","East",930,2012-07-27,2012,30
"1337","London",872,2012-07-27,2012,30
"1338","South East",1291,2012-07-27,2012,30
"1339","South West",946,2012-07-27,2012,30
"1340","Wales",558,2012-07-27,2012,30
"1341","North East",480,2012-08-03,2012,31
"1342","North West",1212,2012-08-03,2012,31
"1343","Yorkshire and The Humber",844,2012-08-03,2012,31
"1344","East Midlands",767,2012-08-03,2012,31
"1345","West Midlands",868,2012-08-03,2012,31
"1346","East",964,2012-08-03,2012,31
"1347","London",829,2012-08-03,2012,31
"1348","South East",1401,2012-08-03,2012,31
"1349","South West",971,2012-08-03,2012,31
"1350","Wales",576,2012-08-03,2012,31
"1351","North East",469,2012-08-10,2012,32
"1352","North West",1215,2012-08-10,2012,32
"1353","Yorkshire and The Humber",871,2012-08-10,2012,32
"1354","East Midlands",746,2012-08-10,2012,32
"1355","West Midlands",935,2012-08-10,2012,32
"1356","East",889,2012-08-10,2012,32
"1357","London",808,2012-08-10,2012,32
"1358","South East",1336,2012-08-10,2012,32
"1359","South West",968,2012-08-10,2012,32
"1360","Wales",548,2012-08-10,2012,32
"1361","North East",452,2012-08-17,2012,33
"1362","North West",1138,2012-08-17,2012,33
"1363","Yorkshire and The Humber",872,2012-08-17,2012,33
"1364","East Midlands",707,2012-08-17,2012,33
"1365","West Midlands",909,2012-08-17,2012,33
"1366","East",962,2012-08-17,2012,33
"1367","London",807,2012-08-17,2012,33
"1368","South East",1335,2012-08-17,2012,33
"1369","South West",962,2012-08-17,2012,33
"1370","Wales",604,2012-08-17,2012,33
"1371","North East",460,2012-08-24,2012,34
"1372","North West",1211,2012-08-24,2012,34
"1373","Yorkshire and The Humber",917,2012-08-24,2012,34
"1374","East Midlands",749,2012-08-24,2012,34
"1375","West Midlands",937,2012-08-24,2012,34
"1376","East",1001,2012-08-24,2012,34
"1377","London",844,2012-08-24,2012,34
"1378","South East",1342,2012-08-24,2012,34
"1379","South West",936,2012-08-24,2012,34
"1380","Wales",553,2012-08-24,2012,34
"1381","North East",397,2012-08-31,2012,35
"1382","North West",1075,2012-08-31,2012,35
"1383","Yorkshire and The Humber",793,2012-08-31,2012,35
"1384","East Midlands",634,2012-08-31,2012,35
"1385","West Midlands",812,2012-08-31,2012,35
"1386","East",790,2012-08-31,2012,35
"1387","London",734,2012-08-31,2012,35
"1388","South East",1088,2012-08-31,2012,35
"1389","South West",793,2012-08-31,2012,35
"1390","Wales",478,2012-08-31,2012,35
"1391","North East",450,2012-09-07,2012,36
"1392","North West",1233,2012-09-07,2012,36
"1393","Yorkshire and The Humber",853,2012-09-07,2012,36
"1394","East Midlands",764,2012-09-07,2012,36
"1395","West Midlands",954,2012-09-07,2012,36
"1396","East",933,2012-09-07,2012,36
"1397","London",829,2012-09-07,2012,36
"1398","South East",1304,2012-09-07,2012,36
"1399","South West",974,2012-09-07,2012,36
"1400","Wales",534,2012-09-07,2012,36
"1401","North East",475,2012-09-14,2012,37
"1402","North West",1178,2012-09-14,2012,37
"1403","Yorkshire and The Humber",940,2012-09-14,2012,37
"1404","East Midlands",735,2012-09-14,2012,37
"1405","West Midlands",897,2012-09-14,2012,37
"1406","East",858,2012-09-14,2012,37
"1407","London",799,2012-09-14,2012,37
"1408","South East",1319,2012-09-14,2012,37
"1409","South West",902,2012-09-14,2012,37
"1410","Wales",511,2012-09-14,2012,37
"1411","North East",518,2012-09-21,2012,38
"1412","North West",1268,2012-09-21,2012,38
"1413","Yorkshire and The Humber",882,2012-09-21,2012,38
"1414","East Midlands",725,2012-09-21,2012,38
"1415","West Midlands",878,2012-09-21,2012,38
"1416","East",893,2012-09-21,2012,38
"1417","London",811,2012-09-21,2012,38
"1418","South East",1305,2012-09-21,2012,38
"1419","South West",997,2012-09-21,2012,38
"1420","Wales",538,2012-09-21,2012,38
"1421","North East",468,2012-09-28,2012,39
"1422","North West",1223,2012-09-28,2012,39
"1423","Yorkshire and The Humber",891,2012-09-28,2012,39
"1424","East Midlands",712,2012-09-28,2012,39
"1425","West Midlands",902,2012-09-28,2012,39
"1426","East",918,2012-09-28,2012,39
"1427","London",830,2012-09-28,2012,39
"1428","South East",1343,2012-09-28,2012,39
"1429","South West",942,2012-09-28,2012,39
"1430","Wales",615,2012-09-28,2012,39
"1431","North East",471,2012-10-05,2012,40
"1432","North West",1299,2012-10-05,2012,40
"1433","Yorkshire and The Humber",858,2012-10-05,2012,40
"1434","East Midlands",714,2012-10-05,2012,40
"1435","West Midlands",914,2012-10-05,2012,40
"1436","East",920,2012-10-05,2012,40
"1437","London",855,2012-10-05,2012,40
"1438","South East",1455,2012-10-05,2012,40
"1439","South West",997,2012-10-05,2012,40
"1440","Wales",561,2012-10-05,2012,40
"1441","North East",467,2012-10-12,2012,41
"1442","North West",1298,2012-10-12,2012,41
"1443","Yorkshire and The Humber",940,2012-10-12,2012,41
"1444","East Midlands",765,2012-10-12,2012,41
"1445","West Midlands",965,2012-10-12,2012,41
"1446","East",987,2012-10-12,2012,41
"1447","London",887,2012-10-12,2012,41
"1448","South East",1475,2012-10-12,2012,41
"1449","South West",1022,2012-10-12,2012,41
"1450","Wales",613,2012-10-12,2012,41
"1451","North East",510,2012-10-19,2012,42
"1452","North West",1277,2012-10-19,2012,42
"1453","Yorkshire and The Humber",901,2012-10-19,2012,42
"1454","East Midlands",791,2012-10-19,2012,42
"1455","West Midlands",883,2012-10-19,2012,42
"1456","East",1018,2012-10-19,2012,42
"1457","London",897,2012-10-19,2012,42
"1458","South East",1443,2012-10-19,2012,42
"1459","South West",1003,2012-10-19,2012,42
"1460","Wales",543,2012-10-19,2012,42
"1461","North East",503,2012-10-26,2012,43
"1462","North West",1355,2012-10-26,2012,43
"1463","Yorkshire and The Humber",948,2012-10-26,2012,43
"1464","East Midlands",794,2012-10-26,2012,43
"1465","West Midlands",990,2012-10-26,2012,43
"1466","East",970,2012-10-26,2012,43
"1467","London",920,2012-10-26,2012,43
"1468","South East",1480,2012-10-26,2012,43
"1469","South West",1001,2012-10-26,2012,43
"1470","Wales",574,2012-10-26,2012,43
"1471","North East",459,2012-11-02,2012,44
"1472","North West",1348,2012-11-02,2012,44
"1473","Yorkshire and The Humber",928,2012-11-02,2012,44
"1474","East Midlands",753,2012-11-02,2012,44
"1475","West Midlands",951,2012-11-02,2012,44
"1476","East",973,2012-11-02,2012,44
"1477","London",898,2012-11-02,2012,44
"1478","South East",1393,2012-11-02,2012,44
"1479","South West",998,2012-11-02,2012,44
"1480","Wales",609,2012-11-02,2012,44
"1481","North East",459,2012-11-09,2012,45
"1482","North West",1348,2012-11-09,2012,45
"1483","Yorkshire and The Humber",928,2012-11-09,2012,45
"1484","East Midlands",753,2012-11-09,2012,45
"1485","West Midlands",951,2012-11-09,2012,45
"1486","East",973,2012-11-09,2012,45
"1487","London",898,2012-11-09,2012,45
"1488","South East",1393,2012-11-09,2012,45
"1489","South West",998,2012-11-09,2012,45
"1490","Wales",609,2012-11-09,2012,45
"1491","North East",507,2012-11-16,2012,46
"1492","North West",1370,2012-11-16,2012,46
"1493","Yorkshire and The Humber",954,2012-11-16,2012,46
"1494","East Midlands",763,2012-11-16,2012,46
"1495","West Midlands",1000,2012-11-16,2012,46
"1496","East",1007,2012-11-16,2012,46
"1497","London",926,2012-11-16,2012,46
"1498","South East",1539,2012-11-16,2012,46
"1499","South West",1015,2012-11-16,2012,46
"1500","Wales",586,2012-11-16,2012,46
"1501","North East",550,2012-11-23,2012,47
"1502","North West",1276,2012-11-23,2012,47
"1503","Yorkshire and The Humber",1017,2012-11-23,2012,47
"1504","East Midlands",836,2012-11-23,2012,47
"1505","West Midlands",1022,2012-11-23,2012,47
"1506","East",1011,2012-11-23,2012,47
"1507","London",987,2012-11-23,2012,47
"1508","South East",1496,2012-11-23,2012,47
"1509","South West",1074,2012-11-23,2012,47
"1510","Wales",608,2012-11-23,2012,47
"1511","North East",539,2012-11-30,2012,48
"1512","North West",1236,2012-11-30,2012,48
"1513","Yorkshire and The Humber",929,2012-11-30,2012,48
"1514","East Midlands",794,2012-11-30,2012,48
"1515","West Midlands",999,2012-11-30,2012,48
"1516","East",1059,2012-11-30,2012,48
"1517","London",956,2012-11-30,2012,48
"1518","South East",1483,2012-11-30,2012,48
"1519","South West",1031,2012-11-30,2012,48
"1520","Wales",629,2012-11-30,2012,48
"1521","North East",492,2012-12-07,2012,49
"1522","North West",1321,2012-12-07,2012,49
"1523","Yorkshire and The Humber",897,2012-12-07,2012,49
"1524","East Midlands",765,2012-12-07,2012,49
"1525","West Midlands",958,2012-12-07,2012,49
"1526","East",971,2012-12-07,2012,49
"1527","London",901,2012-12-07,2012,49
"1528","South East",1415,2012-12-07,2012,49
"1529","South West",983,2012-12-07,2012,49
"1530","Wales",668,2012-12-07,2012,49
"1531","North East",543,2012-12-14,2012,50
"1532","North West",1330,2012-12-14,2012,50
"1533","Yorkshire and The Humber",1017,2012-12-14,2012,50
"1534","East Midlands",827,2012-12-14,2012,50
"1535","West Midlands",1014,2012-12-14,2012,50
"1536","East",1003,2012-12-14,2012,50
"1537","London",899,2012-12-14,2012,50
"1538","South East",1492,2012-12-14,2012,50
"1539","South West",1048,2012-12-14,2012,50
"1540","Wales",650,2012-12-14,2012,50
"1541","North East",584,2012-12-21,2012,51
"1542","North West",1433,2012-12-21,2012,51
"1543","Yorkshire and The Humber",977,2012-12-21,2012,51
"1544","East Midlands",869,2012-12-21,2012,51
"1545","West Midlands",1085,2012-12-21,2012,51
"1546","East",1062,2012-12-21,2012,51
"1547","London",986,2012-12-21,2012,51
"1548","South East",1610,2012-12-21,2012,51
"1549","South West",1017,2012-12-21,2012,51
"1550","Wales",744,2012-12-21,2012,51
"1551","North East",421,2012-12-28,2012,52
"1552","North West",1174,2012-12-28,2012,52
"1553","Yorkshire and The Humber",845,2012-12-28,2012,52
"1554","East Midlands",696,2012-12-28,2012,52
"1555","West Midlands",792,2012-12-28,2012,52
"1556","East",809,2012-12-28,2012,52
"1557","London",792,2012-12-28,2012,52
"1558","South East",1179,2012-12-28,2012,52
"1559","South West",821,2012-12-28,2012,52
"1560","Wales",552,2012-12-28,2012,52
"1561","North East",696,2013-01-04,2013,1
"1562","North West",1545,2013-01-04,2013,1
"1563","Yorkshire and The Humber",1138,2013-01-04,2013,1
"1564","East Midlands",976,2013-01-04,2013,1
"1565","West Midlands",1268,2013-01-04,2013,1
"1566","East",1198,2013-01-04,2013,1
"1567","London",1080,2013-01-04,2013,1
"1568","South East",1793,2013-01-04,2013,1
"1569","South West",1174,2013-01-04,2013,1
"1570","Wales",725,2013-01-04,2013,1
"1571","North East",732,2013-01-11,2013,2
"1572","North West",1650,2013-01-11,2013,2
"1573","Yorkshire and The Humber",1213,2013-01-11,2013,2
"1574","East Midlands",1025,2013-01-11,2013,2
"1575","West Midlands",1325,2013-01-11,2013,2
"1576","East",1299,2013-01-11,2013,2
"1577","London",1182,2013-01-11,2013,2
"1578","South East",1988,2013-01-11,2013,2
"1579","South West",1346,2013-01-11,2013,2
"1580","Wales",755,2013-01-11,2013,2
"1581","North East",646,2013-01-18,2013,3
"1582","North West",1539,2013-01-18,2013,3
"1583","Yorkshire and The Humber",1155,2013-01-18,2013,3
"1584","East Midlands",928,2013-01-18,2013,3
"1585","West Midlands",1072,2013-01-18,2013,3
"1586","East",1232,2013-01-18,2013,3
"1587","London",1012,2013-01-18,2013,3
"1588","South East",1680,2013-01-18,2013,3
"1589","South West",1149,2013-01-18,2013,3
"1590","Wales",647,2013-01-18,2013,3
"1591","North East",607,2013-01-25,2013,4
"1592","North West",1571,2013-01-25,2013,4
"1593","Yorkshire and The Humber",1163,2013-01-25,2013,4
"1594","East Midlands",919,2013-01-25,2013,4
"1595","West Midlands",1158,2013-01-25,2013,4
"1596","East",1193,2013-01-25,2013,4
"1597","London",1063,2013-01-25,2013,4
"1598","South East",1643,2013-01-25,2013,4
"1599","South West",1191,2013-01-25,2013,4
"1600","Wales",738,2013-01-25,2013,4
"1601","North East",599,2013-02-01,2013,5
"1602","North West",1481,2013-02-01,2013,5
"1603","Yorkshire and The Humber",1121,2013-02-01,2013,5
"1604","East Midlands",956,2013-02-01,2013,5
"1605","West Midlands",1149,2013-02-01,2013,5
"1606","East",1215,2013-02-01,2013,5
"1607","London",1079,2013-02-01,2013,5
"1608","South East",1734,2013-02-01,2013,5
"1609","South West",1211,2013-02-01,2013,5
"1610","Wales",749,2013-02-01,2013,5
"1611","North East",565,2013-02-08,2013,6
"1612","North West",1533,2013-02-08,2013,6
"1613","Yorkshire and The Humber",1102,2013-02-08,2013,6
"1614","East Midlands",873,2013-02-08,2013,6
"1615","West Midlands",1172,2013-02-08,2013,6
"1616","East",1144,2013-02-08,2013,6
"1617","London",1052,2013-02-08,2013,6
"1618","South East",1725,2013-02-08,2013,6
"1619","South West",1182,2013-02-08,2013,6
"1620","Wales",682,2013-02-08,2013,6
"1621","North East",585,2013-02-15,2013,7
"1622","North West",1542,2013-02-15,2013,7
"1623","Yorkshire and The Humber",1126,2013-02-15,2013,7
"1624","East Midlands",912,2013-02-15,2013,7
"1625","West Midlands",1174,2013-02-15,2013,7
"1626","East",1138,2013-02-15,2013,7
"1627","London",1117,2013-02-15,2013,7
"1628","South East",1575,2013-02-15,2013,7
"1629","South West",1146,2013-02-15,2013,7
"1630","Wales",697,2013-02-15,2013,7
"1631","North East",554,2013-02-22,2013,8
"1632","North West",1522,2013-02-22,2013,8
"1633","Yorkshire and The Humber",1102,2013-02-22,2013,8
"1634","East Midlands",939,2013-02-22,2013,8
"1635","West Midlands",1074,2013-02-22,2013,8
"1636","East",1116,2013-02-22,2013,8
"1637","London",1048,2013-02-22,2013,8
"1638","South East",1631,2013-02-22,2013,8
"1639","South West",1159,2013-02-22,2013,8
"1640","Wales",688,2013-02-22,2013,8
"1641","North East",532,2013-03-01,2013,9
"1642","North West",1525,2013-03-01,2013,9
"1643","Yorkshire and The Humber",1056,2013-03-01,2013,9
"1644","East Midlands",893,2013-03-01,2013,9
"1645","West Midlands",1093,2013-03-01,2013,9
"1646","East",1171,2013-03-01,2013,9
"1647","London",1004,2013-03-01,2013,9
"1648","South East",1693,2013-03-01,2013,9
"1649","South West",1155,2013-03-01,2013,9
"1650","Wales",642,2013-03-01,2013,9
"1651","North East",529,2013-03-08,2013,10
"1652","North West",1568,2013-03-08,2013,10
"1653","Yorkshire and The Humber",1088,2013-03-08,2013,10
"1654","East Midlands",950,2013-03-08,2013,10
"1655","West Midlands",1198,2013-03-08,2013,10
"1656","East",1210,2013-03-08,2013,10
"1657","London",1041,2013-03-08,2013,10
"1658","South East",1724,2013-03-08,2013,10
"1659","South West",1198,2013-03-08,2013,10
"1660","Wales",719,2013-03-08,2013,10
"1661","North East",513,2013-03-15,2013,11
"1662","North West",1538,2013-03-15,2013,11
"1663","Yorkshire and The Humber",1067,2013-03-15,2013,11
"1664","East Midlands",912,2013-03-15,2013,11
"1665","West Midlands",1223,2013-03-15,2013,11
"1666","East",1148,2013-03-15,2013,11
"1667","London",1019,2013-03-15,2013,11
"1668","South East",1726,2013-03-15,2013,11
"1669","South West",1286,2013-03-15,2013,11
"1670","Wales",720,2013-03-15,2013,11
"1671","North East",517,2013-03-22,2013,12
"1672","North West",1534,2013-03-22,2013,12
"1673","Yorkshire and The Humber",1152,2013-03-22,2013,12
"1674","East Midlands",987,2013-03-22,2013,12
"1675","West Midlands",1121,2013-03-22,2013,12
"1676","East",1168,2013-03-22,2013,12
"1677","London",1017,2013-03-22,2013,12
"1678","South East",1631,2013-03-22,2013,12
"1679","South West",1195,2013-03-22,2013,12
"1680","Wales",729,2013-03-22,2013,12
"1681","North East",466,2013-03-29,2013,13
"1682","North West",1300,2013-03-29,2013,13
"1683","Yorkshire and The Humber",927,2013-03-29,2013,13
"1684","East Midlands",764,2013-03-29,2013,13
"1685","West Midlands",960,2013-03-29,2013,13
"1686","East",908,2013-03-29,2013,13
"1687","London",902,2013-03-29,2013,13
"1688","South East",1403,2013-03-29,2013,13
"1689","South West",1022,2013-03-29,2013,13
"1690","Wales",617,2013-03-29,2013,13
"1691","North East",516,2013-04-05,2013,14
"1692","North West",1531,2013-04-05,2013,14
"1693","Yorkshire and The Humber",1113,2013-04-05,2013,14
"1694","East Midlands",911,2013-04-05,2013,14
"1695","West Midlands",1153,2013-04-05,2013,14
"1696","East",1084,2013-04-05,2013,14
"1697","London",1041,2013-04-05,2013,14
"1698","South East",1579,2013-04-05,2013,14
"1699","South West",1169,2013-04-05,2013,14
"1700","Wales",736,2013-04-05,2013,14
"1701","North East",600,2013-04-12,2013,15
"1702","North West",1660,2013-04-12,2013,15
"1703","Yorkshire and The Humber",1147,2013-04-12,2013,15
"1704","East Midlands",952,2013-04-12,2013,15
"1705","West Midlands",1371,2013-04-12,2013,15
"1706","East",1233,2013-04-12,2013,15
"1707","London",1125,2013-04-12,2013,15
"1708","South East",1914,2013-04-12,2013,15
"1709","South West",1320,2013-04-12,2013,15
"1710","Wales",792,2013-04-12,2013,15
"1711","North East",565,2013-04-19,2013,16
"1712","North West",1524,2013-04-19,2013,16
"1713","Yorkshire and The Humber",1139,2013-04-19,2013,16
"1714","East Midlands",1014,2013-04-19,2013,16
"1715","West Midlands",1197,2013-04-19,2013,16
"1716","East",1274,2013-04-19,2013,16
"1717","London",1062,2013-04-19,2013,16
"1718","South East",1801,2013-04-19,2013,16
"1719","South West",1322,2013-04-19,2013,16
"1720","Wales",770,2013-04-19,2013,16
"1721","North East",505,2013-04-26,2013,17
"1722","North West",1449,2013-04-26,2013,17
"1723","Yorkshire and The Humber",1085,2013-04-26,2013,17
"1724","East Midlands",869,2013-04-26,2013,17
"1725","West Midlands",1066,2013-04-26,2013,17
"1726","East",1134,2013-04-26,2013,17
"1727","London",981,2013-04-26,2013,17
"1728","South East",1648,2013-04-26,2013,17
"1729","South West",1159,2013-04-26,2013,17
"1730","Wales",708,2013-04-26,2013,17
"1731","North East",555,2013-05-03,2013,18
"1732","North West",1347,2013-05-03,2013,18
"1733","Yorkshire and The Humber",966,2013-05-03,2013,18
"1734","East Midlands",852,2013-05-03,2013,18
"1735","West Midlands",1042,2013-05-03,2013,18
"1736","East",1070,2013-05-03,2013,18
"1737","London",952,2013-05-03,2013,18
"1738","South East",1612,2013-05-03,2013,18
"1739","South West",1094,2013-05-03,2013,18
"1740","Wales",657,2013-05-03,2013,18
"1741","North East",483,2013-05-10,2013,19
"1742","North West",1213,2013-05-10,2013,19
"1743","Yorkshire and The Humber",895,2013-05-10,2013,19
"1744","East Midlands",718,2013-05-10,2013,19
"1745","West Midlands",870,2013-05-10,2013,19
"1746","East",954,2013-05-10,2013,19
"1747","London",868,2013-05-10,2013,19
"1748","South East",1306,2013-05-10,2013,19
"1749","South West",942,2013-05-10,2013,19
"1750","Wales",547,2013-05-10,2013,19
"1751","North East",484,2013-05-17,2013,20
"1752","North West",1295,2013-05-17,2013,20
"1753","Yorkshire and The Humber",995,2013-05-17,2013,20
"1754","East Midlands",823,2013-05-17,2013,20
"1755","West Midlands",1047,2013-05-17,2013,20
"1756","East",1040,2013-05-17,2013,20
