"","week","deaths","age","year","weekno","reg"
"107",2013-12-06,9904,"Total",2013,49,"England & Wales"
"108",2019-12-06,10816,"Total",2019,49,"England & Wales"
"109",2011-01-07,12642,"Total",2011,1,"England & Wales"
"110",2014-02-07,10144,"Total",2014,6,"England & Wales"
"111",2020-02-07,10984,"Total",2020,6,"England & Wales"
"112",2014-03-07,9827,"Total",2014,10,"England & Wales"
"113",2017-04-07,9938,"Total",2017,14,"England & Wales"
"114",2010-05-07,8339,"Total",2010,19,"England & Wales"
"115",2013-06-07,9481,"Total",2013,23,"England & Wales"
"116",2019-06-07,10140,"Total",2019,23,"England & Wales"
"117",2017-07-07,9261,"Total",2017,27,"England & Wales"
"118",2015-08-07,8860,"Total",2015,32,"England & Wales"
"119",2012-09-07,8848,"Total",2012,36,"England & Wales"
"120",2018-09-07,9445,"Total",2018,36,"England & Wales"
"121",2011-10-07,8719,"Total",2011,40,"England & Wales"
"122",2016-10-07,9287,"Total",2016,41,"England & Wales"
"123",2014-11-07,9751,"Total",2014,45,"England & Wales"
"124",2012-12-07,9842,"Total",2012,49,"England & Wales"
"125",2018-12-07,10287,"Total",2018,49,"England & Wales"
"126",2010-01-08,12967,"Total",2010,2,"England & Wales"
"127",2016-01-08,13045,"Total",2016,2,"England & Wales"
"128",2013-02-08,11044,"Total",2013,6,"England & Wales"
"129",2019-02-08,11660,"Total",2019,6,"England & Wales"
"130",2013-03-08,11242,"Total",2013,10,"England & Wales"
"131",2019-03-08,10898,"Total",2019,10,"England & Wales"
"132",2011-04-08,9554,"Total",2011,14,"England & Wales"
"133",2016-04-08,11599,"Total",2016,15,"England & Wales"
"134",2015-05-08,8861,"Total",2015,19,"England & Wales"
"135",2020-05-08,12657,"Total",2020,19,"England & Wales"
"136",2012-06-08,6781,"Total",2012,23,"England & Wales"
"137",2018-06-08,9950,"Total",2018,23,"England & Wales"
"138",2011-07-08,8704,"Total",2011,27,"England & Wales"
"139",2016-07-08,9138,"Total",2016,28,"England & Wales"
"140",2014-08-08,8754,"Total",2014,32,"England & Wales"
"141",2017-09-08,9493,"Total",2017,36,"England & Wales"
