"","week","deaths","age","year","weekno","reg"
"1102",2011-07-15,1367,"65-74",2011,28,"England & Wales"
"1103",2011-07-15,2571,"75-84",2011,28,"England & Wales"
"1104",2011-07-15,3049,"85+",2011,28,"England & Wales"
"1105",2011-07-22,66,"Under 1 year",2011,29,"England & Wales"
"1106",2011-07-22,21,"01-14",2011,29,"England & Wales"
"1107",2011-07-22,305,"15-44",2011,29,"England & Wales"
"1108",2011-07-22,1168,"45-64",2011,29,"England & Wales"
"1109",2011-07-22,1378,"65-74",2011,29,"England & Wales"
"1110",2011-07-22,2539,"75-84",2011,29,"England & Wales"
"1111",2011-07-22,3023,"85+",2011,29,"England & Wales"
"1112",2011-07-29,62,"Under 1 year",2011,30,"England & Wales"
"1113",2011-07-29,25,"01-14",2011,30,"England & Wales"
"1114",2011-07-29,260,"15-44",2011,30,"England & Wales"
"1115",2011-07-29,1118,"45-64",2011,30,"England & Wales"
"1116",2011-07-29,1452,"65-74",2011,30,"England & Wales"
"1117",2011-07-29,2466,"75-84",2011,30,"England & Wales"
"1118",2011-07-29,3072,"85+",2011,30,"England & Wales"
"1119",2011-08-05,52,"Under 1 year",2011,31,"England & Wales"
"1120",2011-08-05,19,"01-14",2011,31,"England & Wales"
"1121",2011-08-05,297,"15-44",2011,31,"England & Wales"
"1122",2011-08-05,1182,"45-64",2011,31,"England & Wales"
"1123",2011-08-05,1433,"65-74",2011,31,"England & Wales"
"1124",2011-08-05,2650,"75-84",2011,31,"England & Wales"
"1125",2011-08-05,3153,"85+",2011,31,"England & Wales"
"1126",2011-08-12,61,"Under 1 year",2011,32,"England & Wales"
"1127",2011-08-12,12,"01-14",2011,32,"England & Wales"
"1128",2011-08-12,272,"15-44",2011,32,"England & Wales"
"1129",2011-08-12,1174,"45-64",2011,32,"England & Wales"
"1130",2011-08-12,1430,"65-74",2011,32,"England & Wales"
"1131",2011-08-12,2617,"75-84",2011,32,"England & Wales"
"1132",2011-08-12,3007,"85+",2011,32,"England & Wales"
"1133",2011-08-19,65,"Under 1 year",2011,33,"England & Wales"
"1134",2011-08-19,10,"01-14",2011,33,"England & Wales"
"1135",2011-08-19,291,"15-44",2011,33,"England & Wales"
"1136",2011-08-19,1119,"45-64",2011,33,"England & Wales"
"1137",2011-08-19,1387,"65-74",2011,33,"England & Wales"
"1138",2011-08-19,2473,"75-84",2011,33,"England & Wales"
"1139",2011-08-19,3079,"85+",2011,33,"England & Wales"
"1140",2011-08-26,77,"Under 1 year",2011,34,"England & Wales"
"1141",2011-08-26,12,"01-14",2011,34,"England & Wales"
"1142",2011-08-26,287,"15-44",2011,34,"England & Wales"
"1143",2011-08-26,1133,"45-64",2011,34,"England & Wales"
"1144",2011-08-26,1366,"65-74",2011,34,"England & Wales"
"1145",2011-08-26,2544,"75-84",2011,34,"England & Wales"
"1146",2011-08-26,3045,"85+",2011,34,"England & Wales"
"1147",2011-09-02,53,"Under 1 year",2011,35,"England & Wales"
"1148",2011-09-02,17,"01-14",2011,35,"England & Wales"
"1149",2011-09-02,254,"15-44",2011,35,"England & Wales"
"1150",2011-09-02,1018,"45-64",2011,35,"England & Wales"
"1151",2011-09-02,1222,"65-74",2011,35,"England & Wales"
"1152",2011-09-02,2369,"75-84",2011,35,"England & Wales"
"1153",2011-09-02,2783,"85+",2011,35,"England & Wales"
"1154",2011-09-09,52,"Under 1 year",2011,36,"England & Wales"
"1155",2011-09-09,17,"01-14",2011,36,"England & Wales"
"1156",2011-09-09,249,"15-44",2011,36,"England & Wales"
"1157",2011-09-09,1149,"45-64",2011,36,"England & Wales"
"1158",2011-09-09,1462,"65-74",2011,36,"England & Wales"
"1159",2011-09-09,2659,"75-84",2011,36,"England & Wales"
"1160",2011-09-09,3179,"85+",2011,36,"England & Wales"
"1161",2011-09-16,53,"Under 1 year",2011,37,"England & Wales"
"1162",2011-09-16,27,"01-14",2011,37,"England & Wales"
"1163",2011-09-16,279,"15-44",2011,37,"England & Wales"
"1164",2011-09-16,1159,"45-64",2011,37,"England & Wales"
"1165",2011-09-16,1401,"65-74",2011,37,"England & Wales"
"1166",2011-09-16,2536,"75-84",2011,37,"England & Wales"
"1167",2011-09-16,3157,"85+",2011,37,"England & Wales"
"1168",2011-09-23,53,"Under 1 year",2011,38,"England & Wales"
"1169",2011-09-23,20,"01-14",2011,38,"England & Wales"
"1170",2011-09-23,309,"15-44",2011,38,"England & Wales"
"1171",2011-09-23,1107,"45-64",2011,38,"England & Wales"
"1172",2011-09-23,1371,"65-74",2011,38,"England & Wales"
"1173",2011-09-23,2509,"75-84",2011,38,"England & Wales"
"1174",2011-09-23,3157,"85+",2011,38,"England & Wales"
"1175",2011-09-30,54,"Under 1 year",2011,39,"England & Wales"
"1176",2011-09-30,22,"01-14",2011,39,"England & Wales"
"1177",2011-09-30,302,"15-44",2011,39,"England & Wales"
"1178",2011-09-30,1172,"45-64",2011,39,"England & Wales"
"1179",2011-09-30,1512,"65-74",2011,39,"England & Wales"
"1180",2011-09-30,2563,"75-84",2011,39,"England & Wales"
"1181",2011-09-30,3294,"85+",2011,39,"England & Wales"
"1182",2011-10-07,65,"Under 1 year",2011,40,"England & Wales"
"1183",2011-10-07,16,"01-14",2011,40,"England & Wales"
"1184",2011-10-07,268,"15-44",2011,40,"England & Wales"
"1185",2011-10-07,1065,"45-64",2011,40,"England & Wales"
"1186",2011-10-07,1422,"65-74",2011,40,"England & Wales"
"1187",2011-10-07,2634,"75-84",2011,40,"England & Wales"
"1188",2011-10-07,3249,"85+",2011,40,"England & Wales"
"1189",2011-10-14,69,"Under 1 year",2011,41,"England & Wales"
"1190",2011-10-14,18,"01-14",2011,41,"England & Wales"
"1191",2011-10-14,288,"15-44",2011,41,"England & Wales"
"1192",2011-10-14,1202,"45-64",2011,41,"England & Wales"
"1193",2011-10-14,1425,"65-74",2011,41,"England & Wales"
"1194",2011-10-14,2510,"75-84",2011,41,"England & Wales"
"1195",2011-10-14,3192,"85+",2011,41,"England & Wales"
"1196",2011-10-21,68,"Under 1 year",2011,42,"England & Wales"
"1197",2011-10-21,16,"01-14",2011,42,"England & Wales"
"1198",2011-10-21,264,"15-44",2011,42,"England & Wales"
"1199",2011-10-21,1130,"45-64",2011,42,"England & Wales"
"1200",2011-10-21,1460,"65-74",2011,42,"England & Wales"
"1201",2011-10-21,2565,"75-84",2011,42,"England & Wales"
"1202",2011-10-21,3121,"85+",2011,42,"England & Wales"
"1203",2011-10-28,55,"Under 1 year",2011,43,"England & Wales"
"1204",2011-10-28,17,"01-14",2011,43,"England & Wales"
"1205",2011-10-28,306,"15-44",2011,43,"England & Wales"
"1206",2011-10-28,1195,"45-64",2011,43,"England & Wales"
"1207",2011-10-28,1411,"65-74",2011,43,"England & Wales"
"1208",2011-10-28,2637,"75-84",2011,43,"England & Wales"
"1209",2011-10-28,3512,"85+",2011,43,"England & Wales"
"1210",2011-11-04,61,"Under 1 year",2011,44,"England & Wales"
"1211",2011-11-04,20,"01-14",2011,44,"England & Wales"
"1212",2011-11-04,285,"15-44",2011,44,"England & Wales"
"1213",2011-11-04,1262,"45-64",2011,44,"England & Wales"
"1214",2011-11-04,1537,"65-74",2011,44,"England & Wales"
"1215",2011-11-04,2798,"75-84",2011,44,"England & Wales"
"1216",2011-11-04,3677,"85+",2011,44,"England & Wales"
"1217",2011-11-11,56,"Under 1 year",2011,45,"England & Wales"
"1218",2011-11-11,30,"01-14",2011,45,"England & Wales"
"1219",2011-11-11,288,"15-44",2011,45,"England & Wales"
"1220",2011-11-11,1149,"45-64",2011,45,"England & Wales"
"1221",2011-11-11,1527,"65-74",2011,45,"England & Wales"
"1222",2011-11-11,2721,"75-84",2011,45,"England & Wales"
"1223",2011-11-11,3271,"85+",2011,45,"England & Wales"
"1224",2011-11-18,64,"Under 1 year",2011,46,"England & Wales"
"1225",2011-11-18,15,"01-14",2011,46,"England & Wales"
"1226",2011-11-18,312,"15-44",2011,46,"England & Wales"
"1227",2011-11-18,1208,"45-64",2011,46,"England & Wales"
"1228",2011-11-18,1496,"65-74",2011,46,"England & Wales"
"1229",2011-11-18,2732,"75-84",2011,46,"England & Wales"
"1230",2011-11-18,3475,"85+",2011,46,"England & Wales"
"1231",2011-11-25,61,"Under 1 year",2011,47,"England & Wales"
"1232",2011-11-25,16,"01-14",2011,47,"England & Wales"
"1233",2011-11-25,274,"15-44",2011,47,"England & Wales"
"1234",2011-11-25,1158,"45-64",2011,47,"England & Wales"
"1235",2011-11-25,1490,"65-74",2011,47,"England & Wales"
"1236",2011-11-25,2696,"75-84",2011,47,"England & Wales"
"1237",2011-11-25,3466,"85+",2011,47,"England & Wales"
"1238",2011-12-02,56,"Under 1 year",2011,48,"England & Wales"
"1239",2011-12-02,22,"01-14",2011,48,"England & Wales"
"1240",2011-12-02,287,"15-44",2011,48,"England & Wales"
"1241",2011-12-02,1209,"45-64",2011,48,"England & Wales"
"1242",2011-12-02,1533,"65-74",2011,48,"England & Wales"
"1243",2011-12-02,2642,"75-84",2011,48,"England & Wales"
"1244",2011-12-02,3454,"85+",2011,48,"England & Wales"
"1245",2011-12-09,52,"Under 1 year",2011,49,"England & Wales"
"1246",2011-12-09,21,"01-14",2011,49,"England & Wales"
"1247",2011-12-09,308,"15-44",2011,49,"England & Wales"
"1248",2011-12-09,1268,"45-64",2011,49,"England & Wales"
"1249",2011-12-09,1530,"65-74",2011,49,"England & Wales"
"1250",2011-12-09,2850,"75-84",2011,49,"England & Wales"
"1251",2011-12-09,3799,"85+",2011,49,"England & Wales"
"1252",2011-12-16,74,"Under 1 year",2011,50,"England & Wales"
"1253",2011-12-16,12,"01-14",2011,50,"England & Wales"
"1254",2011-12-16,314,"15-44",2011,50,"England & Wales"
"1255",2011-12-16,1243,"45-64",2011,50,"England & Wales"
"1256",2011-12-16,1673,"65-74",2011,50,"England & Wales"
"1257",2011-12-16,3128,"75-84",2011,50,"England & Wales"
"1258",2011-12-16,3903,"85+",2011,50,"England & Wales"
"1259",2011-12-23,79,"Under 1 year",2011,51,"England & Wales"
"1260",2011-12-23,25,"01-14",2011,51,"England & Wales"
"1261",2011-12-23,327,"15-44",2011,51,"England & Wales"
"1262",2011-12-23,1268,"45-64",2011,51,"England & Wales"
"1263",2011-12-23,1822,"65-74",2011,51,"England & Wales"
"1264",2011-12-23,3229,"75-84",2011,51,"England & Wales"
"1265",2011-12-23,4394,"85+",2011,51,"England & Wales"
"1266",2011-12-30,48,"Under 1 year",2011,52,"England & Wales"
"1267",2011-12-30,22,"01-14",2011,52,"England & Wales"
"1268",2011-12-30,176,"15-44",2011,52,"England & Wales"
"1269",2011-12-30,915,"45-64",2011,52,"England & Wales"
"1270",2011-12-30,1309,"65-74",2011,52,"England & Wales"
"1271",2011-12-30,2591,"75-84",2011,52,"England & Wales"
"1272",2011-12-30,3411,"85+",2011,52,"England & Wales"
"1273",2012-01-06,48,"Under 1 year",2012,1,"England & Wales"
"1274",2012-01-06,19,"01-14",2012,1,"England & Wales"
"1275",2012-01-06,181,"15-44",2012,1,"England & Wales"
"1276",2012-01-06,1255,"45-64",2012,1,"England & Wales"
"1277",2012-01-06,1570,"65-74",2012,1,"England & Wales"
"1278",2012-01-06,3140,"75-84",2012,1,"England & Wales"
"1279",2012-01-06,4280,"85+",2012,1,"England & Wales"
"1280",2012-01-13,61,"Under 1 year",2012,2,"England & Wales"
"1281",2012-01-13,17,"01-14",2012,2,"England & Wales"
"1282",2012-01-13,282,"15-44",2012,2,"England & Wales"
"1283",2012-01-13,1370,"45-64",2012,2,"England & Wales"
"1284",2012-01-13,1795,"65-74",2012,2,"England & Wales"
"1285",2012-01-13,3372,"75-84",2012,2,"England & Wales"
"1286",2012-01-13,4393,"85+",2012,2,"England & Wales"
"1287",2012-01-20,48,"Under 1 year",2012,3,"England & Wales"
"1288",2012-01-20,17,"01-14",2012,3,"England & Wales"
"1289",2012-01-20,279,"15-44",2012,3,"England & Wales"
"1290",2012-01-20,1204,"45-64",2012,3,"England & Wales"
"1291",2012-01-20,1601,"65-74",2012,3,"England & Wales"
"1292",2012-01-20,3047,"75-84",2012,3,"England & Wales"
"1293",2012-01-20,4197,"85+",2012,3,"England & Wales"
"1294",2012-01-27,45,"Under 1 year",2012,4,"England & Wales"
"1295",2012-01-27,28,"01-14",2012,4,"England & Wales"
"1296",2012-01-27,285,"15-44",2012,4,"England & Wales"
"1297",2012-01-27,1240,"45-64",2012,4,"England & Wales"
"1298",2012-01-27,1626,"65-74",2012,4,"England & Wales"
"1299",2012-01-27,3008,"75-84",2012,4,"England & Wales"
"1300",2012-01-27,4088,"85+",2012,4,"England & Wales"
"1301",2012-02-03,52,"Under 1 year",2012,5,"England & Wales"
"1302",2012-02-03,26,"01-14",2012,5,"England & Wales"
"1303",2012-02-03,280,"15-44",2012,5,"England & Wales"
"1304",2012-02-03,1245,"45-64",2012,5,"England & Wales"
"1305",2012-02-03,1531,"65-74",2012,5,"England & Wales"
"1306",2012-02-03,2939,"75-84",2012,5,"England & Wales"
"1307",2012-02-03,4044,"85+",2012,5,"England & Wales"
"1308",2012-02-10,50,"Under 1 year",2012,6,"England & Wales"
"1309",2012-02-10,18,"01-14",2012,6,"England & Wales"
"1310",2012-02-10,312,"15-44",2012,6,"England & Wales"
"1311",2012-02-10,1237,"45-64",2012,6,"England & Wales"
"1312",2012-02-10,1650,"65-74",2012,6,"England & Wales"
"1313",2012-02-10,2942,"75-84",2012,6,"England & Wales"
"1314",2012-02-10,4077,"85+",2012,6,"England & Wales"
"1315",2012-02-17,53,"Under 1 year",2012,7,"England & Wales"
"1316",2012-02-17,16,"01-14",2012,7,"England & Wales"
"1317",2012-02-17,290,"15-44",2012,7,"England & Wales"
"1318",2012-02-17,1164,"45-64",2012,7,"England & Wales"
"1319",2012-02-17,1639,"65-74",2012,7,"England & Wales"
"1320",2012-02-17,3118,"75-84",2012,7,"England & Wales"
"1321",2012-02-17,4252,"85+",2012,7,"England & Wales"
"1322",2012-02-24,75,"Under 1 year",2012,8,"England & Wales"
"1323",2012-02-24,14,"01-14",2012,8,"England & Wales"
"1324",2012-02-24,320,"15-44",2012,8,"England & Wales"
"1325",2012-02-24,1220,"45-64",2012,8,"England & Wales"
"1326",2012-02-24,1667,"65-74",2012,8,"England & Wales"
"1327",2012-02-24,3234,"75-84",2012,8,"England & Wales"
"1328",2012-02-24,4551,"85+",2012,8,"England & Wales"
"1329",2012-03-02,55,"Under 1 year",2012,9,"England & Wales"
"1330",2012-03-02,22,"01-14",2012,9,"England & Wales"
"1331",2012-03-02,278,"15-44",2012,9,"England & Wales"
"1332",2012-03-02,1310,"45-64",2012,9,"England & Wales"
"1333",2012-03-02,1614,"65-74",2012,9,"England & Wales"
"1334",2012-03-02,3286,"75-84",2012,9,"England & Wales"
"1335",2012-03-02,4374,"85+",2012,9,"England & Wales"
"1336",2012-03-09,57,"Under 1 year",2012,10,"England & Wales"
"1337",2012-03-09,16,"01-14",2012,10,"England & Wales"
"1338",2012-03-09,318,"15-44",2012,10,"England & Wales"
"1339",2012-03-09,1185,"45-64",2012,10,"England & Wales"
"1340",2012-03-09,1585,"65-74",2012,10,"England & Wales"
"1341",2012-03-09,3074,"75-84",2012,10,"England & Wales"
"1342",2012-03-09,4270,"85+",2012,10,"England & Wales"
"1343",2012-03-16,58,"Under 1 year",2012,11,"England & Wales"
"1344",2012-03-16,18,"01-14",2012,11,"England & Wales"
"1345",2012-03-16,270,"15-44",2012,11,"England & Wales"
"1346",2012-03-16,1238,"45-64",2012,11,"England & Wales"
"1347",2012-03-16,1485,"65-74",2012,11,"England & Wales"
"1348",2012-03-16,2990,"75-84",2012,11,"England & Wales"
"1349",2012-03-16,3982,"85+",2012,11,"England & Wales"
"1350",2012-03-23,67,"Under 1 year",2012,12,"England & Wales"
"1351",2012-03-23,34,"01-14",2012,12,"England & Wales"
"1352",2012-03-23,296,"15-44",2012,12,"England & Wales"
"1353",2012-03-23,1256,"45-64",2012,12,"England & Wales"
"1354",2012-03-23,1526,"65-74",2012,12,"England & Wales"
"1355",2012-03-23,2877,"75-84",2012,12,"England & Wales"
"1356",2012-03-23,3806,"85+",2012,12,"England & Wales"
"1357",2012-03-30,61,"Under 1 year",2012,13,"England & Wales"
"1358",2012-03-30,21,"01-14",2012,13,"England & Wales"
"1359",2012-03-30,290,"15-44",2012,13,"England & Wales"
"1360",2012-03-30,1170,"45-64",2012,13,"England & Wales"
"1361",2012-03-30,1541,"65-74",2012,13,"England & Wales"
"1362",2012-03-30,2769,"75-84",2012,13,"England & Wales"
"1363",2012-03-30,3779,"85+",2012,13,"England & Wales"
"1364",2012-04-06,50,"Under 1 year",2012,14,"England & Wales"
"1365",2012-04-06,23,"01-14",2012,14,"England & Wales"
"1366",2012-04-06,301,"15-44",2012,14,"England & Wales"
"1367",2012-04-06,1072,"45-64",2012,14,"England & Wales"
"1368",2012-04-06,1314,"65-74",2012,14,"England & Wales"
"1369",2012-04-06,2478,"75-84",2012,14,"England & Wales"
"1370",2012-04-06,3281,"85+",2012,14,"England & Wales"
"1371",2012-04-13,65,"Under 1 year",2012,15,"England & Wales"
"1372",2012-04-13,26,"01-14",2012,15,"England & Wales"
"1373",2012-04-13,278,"15-44",2012,15,"England & Wales"
"1374",2012-04-13,1155,"45-64",2012,15,"England & Wales"
"1375",2012-04-13,1639,"65-74",2012,15,"England & Wales"
"1376",2012-04-13,2959,"75-84",2012,15,"England & Wales"
"1377",2012-04-13,3870,"85+",2012,15,"England & Wales"
"1378",2012-04-20,72,"Under 1 year",2012,16,"England & Wales"
"1379",2012-04-20,18,"01-14",2012,16,"England & Wales"
"1380",2012-04-20,306,"15-44",2012,16,"England & Wales"
"1381",2012-04-20,1313,"45-64",2012,16,"England & Wales"
"1382",2012-04-20,1732,"65-74",2012,16,"England & Wales"
"1383",2012-04-20,3231,"75-84",2012,16,"England & Wales"
"1384",2012-04-20,4135,"85+",2012,16,"England & Wales"
"1385",2012-04-27,60,"Under 1 year",2012,17,"England & Wales"
"1386",2012-04-27,21,"01-14",2012,17,"England & Wales"
"1387",2012-04-27,288,"15-44",2012,17,"England & Wales"
"1388",2012-04-27,1227,"45-64",2012,17,"England & Wales"
"1389",2012-04-27,1607,"65-74",2012,17,"England & Wales"
"1390",2012-04-27,2986,"75-84",2012,17,"England & Wales"
"1391",2012-04-27,4048,"85+",2012,17,"England & Wales"
"1392",2012-05-04,60,"Under 1 year",2012,18,"England & Wales"
"1393",2012-05-04,25,"01-14",2012,18,"England & Wales"
"1394",2012-05-04,301,"15-44",2012,18,"England & Wales"
"1395",2012-05-04,1171,"45-64",2012,18,"England & Wales"
"1396",2012-05-04,1615,"65-74",2012,18,"England & Wales"
"1397",2012-05-04,2936,"75-84",2012,18,"England & Wales"
"1398",2012-05-04,3847,"85+",2012,18,"England & Wales"
"1399",2012-05-11,54,"Under 1 year",2012,19,"England & Wales"
"1400",2012-05-11,16,"01-14",2012,19,"England & Wales"
"1401",2012-05-11,241,"15-44",2012,19,"England & Wales"
"1402",2012-05-11,1063,"45-64",2012,19,"England & Wales"
"1403",2012-05-11,1370,"65-74",2012,19,"England & Wales"
"1404",2012-05-11,2652,"75-84",2012,19,"England & Wales"
"1405",2012-05-11,3461,"85+",2012,19,"England & Wales"
"1406",2012-05-18,67,"Under 1 year",2012,20,"England & Wales"
"1407",2012-05-18,23,"01-14",2012,20,"England & Wales"
"1408",2012-05-18,306,"15-44",2012,20,"England & Wales"
"1409",2012-05-18,1212,"45-64",2012,20,"England & Wales"
"1410",2012-05-18,1643,"65-74",2012,20,"England & Wales"
"1411",2012-05-18,2891,"75-84",2012,20,"England & Wales"
"1412",2012-05-18,3761,"85+",2012,20,"England & Wales"
"1413",2012-05-25,58,"Under 1 year",2012,21,"England & Wales"
"1414",2012-05-25,26,"01-14",2012,21,"England & Wales"
"1415",2012-05-25,273,"15-44",2012,21,"England & Wales"
"1416",2012-05-25,1177,"45-64",2012,21,"England & Wales"
"1417",2012-05-25,1622,"65-74",2012,21,"England & Wales"
"1418",2012-05-25,2839,"75-84",2012,21,"England & Wales"
"1419",2012-05-25,3607,"85+",2012,21,"England & Wales"
"1420",2012-06-01,60,"Under 1 year",2012,22,"England & Wales"
"1421",2012-06-01,23,"01-14",2012,22,"England & Wales"
"1422",2012-06-01,303,"15-44",2012,22,"England & Wales"
"1423",2012-06-01,1190,"45-64",2012,22,"England & Wales"
"1424",2012-06-01,1542,"65-74",2012,22,"England & Wales"
"1425",2012-06-01,2873,"75-84",2012,22,"England & Wales"
"1426",2012-06-01,3606,"85+",2012,22,"England & Wales"
"1427",2012-06-08,42,"Under 1 year",2012,23,"England & Wales"
"1428",2012-06-08,9,"01-14",2012,23,"England & Wales"
"1429",2012-06-08,185,"15-44",2012,23,"England & Wales"
"1430",2012-06-08,846,"45-64",2012,23,"England & Wales"
"1431",2012-06-08,1130,"65-74",2012,23,"England & Wales"
"1432",2012-06-08,2021,"75-84",2012,23,"England & Wales"
"1433",2012-06-08,2548,"85+",2012,23,"England & Wales"
"1434",2012-06-15,80,"Under 1 year",2012,24,"England & Wales"
"1435",2012-06-15,16,"01-14",2012,24,"England & Wales"
"1436",2012-06-15,300,"15-44",2012,24,"England & Wales"
"1437",2012-06-15,1217,"45-64",2012,24,"England & Wales"
"1438",2012-06-15,1794,"65-74",2012,24,"England & Wales"
"1439",2012-06-15,3063,"75-84",2012,24,"England & Wales"
"1440",2012-06-15,3700,"85+",2012,24,"England & Wales"
"1441",2012-06-22,53,"Under 1 year",2012,25,"England & Wales"
"1442",2012-06-22,17,"01-14",2012,25,"England & Wales"
"1443",2012-06-22,289,"15-44",2012,25,"England & Wales"
"1444",2012-06-22,1147,"45-64",2012,25,"England & Wales"
"1445",2012-06-22,1527,"65-74",2012,25,"England & Wales"
"1446",2012-06-22,2658,"75-84",2012,25,"England & Wales"
"1447",2012-06-22,3363,"85+",2012,25,"England & Wales"
"1448",2012-06-29,56,"Under 1 year",2012,26,"England & Wales"
"1449",2012-06-29,16,"01-14",2012,26,"England & Wales"
"1450",2012-06-29,256,"15-44",2012,26,"England & Wales"
"1451",2012-06-29,1130,"45-64",2012,26,"England & Wales"
"1452",2012-06-29,1464,"65-74",2012,26,"England & Wales"
"1453",2012-06-29,2594,"75-84",2012,26,"England & Wales"
"1454",2012-06-29,3339,"85+",2012,26,"England & Wales"
"1455",2012-07-06,64,"Under 1 year",2012,27,"England & Wales"
"1456",2012-07-06,17,"01-14",2012,27,"England & Wales"
"1457",2012-07-06,266,"15-44",2012,27,"England & Wales"
"1458",2012-07-06,1098,"45-64",2012,27,"England & Wales"
"1459",2012-07-06,1521,"65-74",2012,27,"England & Wales"
"1460",2012-07-06,2633,"75-84",2012,27,"England & Wales"
"1461",2012-07-06,3306,"85+",2012,27,"England & Wales"
"1462",2012-07-13,57,"Under 1 year",2012,28,"England & Wales"
"1463",2012-07-13,16,"01-14",2012,28,"England & Wales"
"1464",2012-07-13,260,"15-44",2012,28,"England & Wales"
"1465",2012-07-13,1123,"45-64",2012,28,"England & Wales"
"1466",2012-07-13,1493,"65-74",2012,28,"England & Wales"
"1467",2012-07-13,2571,"75-84",2012,28,"England & Wales"
"1468",2012-07-13,3233,"85+",2012,28,"England & Wales"
"1469",2012-07-20,47,"Under 1 year",2012,29,"England & Wales"
"1470",2012-07-20,26,"01-14",2012,29,"England & Wales"
"1471",2012-07-20,292,"15-44",2012,29,"England & Wales"
"1472",2012-07-20,1124,"45-64",2012,29,"England & Wales"
"1473",2012-07-20,1495,"65-74",2012,29,"England & Wales"
"1474",2012-07-20,2538,"75-84",2012,29,"England & Wales"
"1475",2012-07-20,3162,"85+",2012,29,"England & Wales"
"1476",2012-07-27,69,"Under 1 year",2012,30,"England & Wales"
"1477",2012-07-27,15,"01-14",2012,30,"England & Wales"
"1478",2012-07-27,283,"15-44",2012,30,"England & Wales"
"1479",2012-07-27,1157,"45-64",2012,30,"England & Wales"
"1480",2012-07-27,1500,"65-74",2012,30,"England & Wales"
"1481",2012-07-27,2557,"75-84",2012,30,"England & Wales"
"1482",2012-07-27,3295,"85+",2012,30,"England & Wales"
"1483",2012-08-03,56,"Under 1 year",2012,31,"England & Wales"
"1484",2012-08-03,13,"01-14",2012,31,"England & Wales"
"1485",2012-08-03,271,"15-44",2012,31,"England & Wales"
"1486",2012-08-03,1153,"45-64",2012,31,"England & Wales"
"1487",2012-08-03,1527,"65-74",2012,31,"England & Wales"
"1488",2012-08-03,2590,"75-84",2012,31,"England & Wales"
"1489",2012-08-03,3331,"85+",2012,31,"England & Wales"
"1490",2012-08-10,70,"Under 1 year",2012,32,"England & Wales"
"1491",2012-08-10,38,"01-14",2012,32,"England & Wales"
"1492",2012-08-10,249,"15-44",2012,32,"England & Wales"
"1493",2012-08-10,1124,"45-64",2012,32,"England & Wales"
"1494",2012-08-10,1447,"65-74",2012,32,"England & Wales"
"1495",2012-08-10,2564,"75-84",2012,32,"England & Wales"
"1496",2012-08-10,3316,"85+",2012,32,"England & Wales"
"1497",2012-08-17,54,"Under 1 year",2012,33,"England & Wales"
"1498",2012-08-17,14,"01-14",2012,33,"England & Wales"
"1499",2012-08-17,268,"15-44",2012,33,"England & Wales"
"1500",2012-08-17,1108,"45-64",2012,33,"England & Wales"
"1501",2012-08-17,1446,"65-74",2012,33,"England & Wales"
"1502",2012-08-17,2611,"75-84",2012,33,"England & Wales"
"1503",2012-08-17,3274,"85+",2012,33,"England & Wales"
"1504",2012-08-24,62,"Under 1 year",2012,34,"England & Wales"
"1505",2012-08-24,19,"01-14",2012,34,"England & Wales"
"1506",2012-08-24,283,"15-44",2012,34,"England & Wales"
"1507",2012-08-24,1144,"45-64",2012,34,"England & Wales"
"1508",2012-08-24,1515,"65-74",2012,34,"England & Wales"
"1509",2012-08-24,2618,"75-84",2012,34,"England & Wales"
"1510",2012-08-24,3336,"85+",2012,34,"England & Wales"
"1511",2012-08-31,62,"Under 1 year",2012,35,"England & Wales"
"1512",2012-08-31,13,"01-14",2012,35,"England & Wales"
"1513",2012-08-31,243,"15-44",2012,35,"England & Wales"
"1514",2012-08-31,952,"45-64",2012,35,"England & Wales"
"1515",2012-08-31,1293,"65-74",2012,35,"England & Wales"
"1516",2012-08-31,2288,"75-84",2012,35,"England & Wales"
"1517",2012-08-31,2766,"85+",2012,35,"England & Wales"
"1518",2012-09-07,62,"Under 1 year",2012,36,"England & Wales"
"1519",2012-09-07,20,"01-14",2012,36,"England & Wales"
"1520",2012-09-07,243,"15-44",2012,36,"England & Wales"
"1521",2012-09-07,1164,"45-64",2012,36,"England & Wales"
"1522",2012-09-07,1418,"65-74",2012,36,"England & Wales"
"1523",2012-09-07,2596,"75-84",2012,36,"England & Wales"
"1524",2012-09-07,3345,"85+",2012,36,"England & Wales"
"1525",2012-09-14,63,"Under 1 year",2012,37,"England & Wales"
"1526",2012-09-14,19,"01-14",2012,37,"England & Wales"
"1527",2012-09-14,259,"15-44",2012,37,"England & Wales"
"1528",2012-09-14,1106,"45-64",2012,37,"England & Wales"
"1529",2012-09-14,1476,"65-74",2012,37,"England & Wales"
"1530",2012-09-14,2486,"75-84",2012,37,"England & Wales"
"1531",2012-09-14,3231,"85+",2012,37,"England & Wales"
"1532",2012-09-21,56,"Under 1 year",2012,38,"England & Wales"
"1533",2012-09-21,15,"01-14",2012,38,"England & Wales"
"1534",2012-09-21,319,"15-44",2012,38,"England & Wales"
"1535",2012-09-21,1173,"45-64",2012,38,"England & Wales"
"1536",2012-09-21,1474,"65-74",2012,38,"England & Wales"
"1537",2012-09-21,2548,"75-84",2012,38,"England & Wales"
"1538",2012-09-21,3253,"85+",2012,38,"England & Wales"
"1539",2012-09-28,59,"Under 1 year",2012,39,"England & Wales"
