"","age...1","sex...2","week","deaths","year","weekno","reg","age"
"1664","85+","Female",2011-12-30,2190,2011,52,"England & Wales","85+"
"1665","Total","Male",2012-01-06,4879,2012,1,"England & Wales","Total"
"1666","Total","Female",2012-01-06,5614,2012,1,"England & Wales","Total"
"1667","Under 1 year","Male",2012-01-06,22,2012,1,"England & Wales","Under 1 year"
"1668","Under 1 year","Female",2012-01-06,26,2012,1,"England & Wales","Under 1 year"
"1669","01-14","Male",2012-01-06,11,2012,1,"England & Wales","01-14"
"1670","01-14","Female",2012-01-06,8,2012,1,"England & Wales","01-14"
"1671","15-44","Male",2012-01-06,95,2012,1,"England & Wales","15-44"
"1672","15-44","Female",2012-01-06,86,2012,1,"England & Wales","15-44"
"1673","45-64","Male",2012-01-06,723,2012,1,"England & Wales","45-64"
"1674","45-64","Female",2012-01-06,532,2012,1,"England & Wales","45-64"
"1675","65-74","Male",2012-01-06,907,2012,1,"England & Wales","65-74"
"1676","65-74","Female",2012-01-06,663,2012,1,"England & Wales","65-74"
"1677","75-84","Male",2012-01-06,1608,2012,1,"England & Wales","75-84"
"1678","75-84","Female",2012-01-06,1532,2012,1,"England & Wales","75-84"
"1679","85+","Male",2012-01-06,1513,2012,1,"England & Wales","85+"
"1680","85+","Female",2012-01-06,2767,2012,1,"England & Wales","85+"
"1681","Total","Male",2012-01-13,5281,2012,2,"England & Wales","Total"
"1682","Total","Female",2012-01-13,6009,2012,2,"England & Wales","Total"
"1683","Under 1 year","Male",2012-01-13,29,2012,2,"England & Wales","Under 1 year"
"1684","Under 1 year","Female",2012-01-13,32,2012,2,"England & Wales","Under 1 year"
"1685","01-14","Male",2012-01-13,9,2012,2,"England & Wales","01-14"
"1686","01-14","Female",2012-01-13,8,2012,2,"England & Wales","01-14"
"1687","15-44","Male",2012-01-13,170,2012,2,"England & Wales","15-44"
"1688","15-44","Female",2012-01-13,112,2012,2,"England & Wales","15-44"
"1689","45-64","Male",2012-01-13,784,2012,2,"England & Wales","45-64"
"1690","45-64","Female",2012-01-13,586,2012,2,"England & Wales","45-64"
"1691","65-74","Male",2012-01-13,1024,2012,2,"England & Wales","65-74"
"1692","65-74","Female",2012-01-13,771,2012,2,"England & Wales","65-74"
"1693","75-84","Male",2012-01-13,1749,2012,2,"England & Wales","75-84"
"1694","75-84","Female",2012-01-13,1623,2012,2,"England & Wales","75-84"
"1695","85+","Male",2012-01-13,1516,2012,2,"England & Wales","85+"
"1696","85+","Female",2012-01-13,2877,2012,2,"England & Wales","85+"
"1697","Total","Male",2012-01-20,4919,2012,3,"England & Wales","Total"
"1698","Total","Female",2012-01-20,5474,2012,3,"England & Wales","Total"
"1699","Under 1 year","Male",2012-01-20,31,2012,3,"England & Wales","Under 1 year"
"1700","Under 1 year","Female",2012-01-20,17,2012,3,"England & Wales","Under 1 year"
"1701","01-14","Male",2012-01-20,11,2012,3,"England & Wales","01-14"
"1702","01-14","Female",2012-01-20,6,2012,3,"England & Wales","01-14"
"1703","15-44","Male",2012-01-20,180,2012,3,"England & Wales","15-44"
"1704","15-44","Female",2012-01-20,99,2012,3,"England & Wales","15-44"
"1705","45-64","Male",2012-01-20,727,2012,3,"England & Wales","45-64"
"1706","45-64","Female",2012-01-20,477,2012,3,"England & Wales","45-64"
"1707","65-74","Male",2012-01-20,922,2012,3,"England & Wales","65-74"
"1708","65-74","Female",2012-01-20,679,2012,3,"England & Wales","65-74"
"1709","75-84","Male",2012-01-20,1570,2012,3,"England & Wales","75-84"
"1710","75-84","Female",2012-01-20,1477,2012,3,"England & Wales","75-84"
"1711","85+","Male",2012-01-20,1478,2012,3,"England & Wales","85+"
"1712","85+","Female",2012-01-20,2719,2012,3,"England & Wales","85+"
"1713","Total","Male",2012-01-27,4952,2012,4,"England & Wales","Total"
"1714","Total","Female",2012-01-27,5368,2012,4,"England & Wales","Total"
"1715","Under 1 year","Male",2012-01-27,29,2012,4,"England & Wales","Under 1 year"
"1716","Under 1 year","Female",2012-01-27,16,2012,4,"England & Wales","Under 1 year"
"1717","01-14","Male",2012-01-27,14,2012,4,"England & Wales","01-14"
"1718","01-14","Female",2012-01-27,14,2012,4,"England & Wales","01-14"
"1719","15-44","Male",2012-01-27,184,2012,4,"England & Wales","15-44"
"1720","15-44","Female",2012-01-27,101,2012,4,"England & Wales","15-44"
"1721","45-64","Male",2012-01-27,733,2012,4,"England & Wales","45-64"
"1722","45-64","Female",2012-01-27,507,2012,4,"England & Wales","45-64"
"1723","65-74","Male",2012-01-27,977,2012,4,"England & Wales","65-74"
"1724","65-74","Female",2012-01-27,649,2012,4,"England & Wales","65-74"
"1725","75-84","Male",2012-01-27,1575,2012,4,"England & Wales","75-84"
"1726","75-84","Female",2012-01-27,1433,2012,4,"England & Wales","75-84"
"1727","85+","Male",2012-01-27,1440,2012,4,"England & Wales","85+"
"1728","85+","Female",2012-01-27,2648,2012,4,"England & Wales","85+"
"1729","Total","Male",2012-02-03,4828,2012,5,"England & Wales","Total"
"1730","Total","Female",2012-02-03,5289,2012,5,"England & Wales","Total"
"1731","Under 1 year","Male",2012-02-03,34,2012,5,"England & Wales","Under 1 year"
"1732","Under 1 year","Female",2012-02-03,18,2012,5,"England & Wales","Under 1 year"
"1733","01-14","Male",2012-02-03,11,2012,5,"England & Wales","01-14"
"1734","01-14","Female",2012-02-03,15,2012,5,"England & Wales","01-14"
"1735","15-44","Male",2012-02-03,167,2012,5,"England & Wales","15-44"
"1736","15-44","Female",2012-02-03,113,2012,5,"England & Wales","15-44"
"1737","45-64","Male",2012-02-03,739,2012,5,"England & Wales","45-64"
"1738","45-64","Female",2012-02-03,506,2012,5,"England & Wales","45-64"
"1739","65-74","Male",2012-02-03,883,2012,5,"England & Wales","65-74"
"1740","65-74","Female",2012-02-03,648,2012,5,"England & Wales","65-74"
"1741","75-84","Male",2012-02-03,1513,2012,5,"England & Wales","75-84"
"1742","75-84","Female",2012-02-03,1426,2012,5,"England & Wales","75-84"
"1743","85+","Male",2012-02-03,1481,2012,5,"England & Wales","85+"
"1744","85+","Female",2012-02-03,2563,2012,5,"England & Wales","85+"
"1745","Total","Male",2012-02-10,4964,2012,6,"England & Wales","Total"
"1746","Total","Female",2012-02-10,5322,2012,6,"England & Wales","Total"
"1747","Under 1 year","Male",2012-02-10,28,2012,6,"England & Wales","Under 1 year"
"1748","Under 1 year","Female",2012-02-10,22,2012,6,"England & Wales","Under 1 year"
"1749","01-14","Male",2012-02-10,12,2012,6,"England & Wales","01-14"
"1750","01-14","Female",2012-02-10,6,2012,6,"England & Wales","01-14"
"1751","15-44","Male",2012-02-10,210,2012,6,"England & Wales","15-44"
"1752","15-44","Female",2012-02-10,102,2012,6,"England & Wales","15-44"
"1753","45-64","Male",2012-02-10,737,2012,6,"England & Wales","45-64"
"1754","45-64","Female",2012-02-10,500,2012,6,"England & Wales","45-64"
"1755","65-74","Male",2012-02-10,960,2012,6,"England & Wales","65-74"
"1756","65-74","Female",2012-02-10,690,2012,6,"England & Wales","65-74"
"1757","75-84","Male",2012-02-10,1540,2012,6,"England & Wales","75-84"
"1758","75-84","Female",2012-02-10,1402,2012,6,"England & Wales","75-84"
"1759","85+","Male",2012-02-10,1477,2012,6,"England & Wales","85+"
"1760","85+","Female",2012-02-10,2600,2012,6,"England & Wales","85+"
"1761","Total","Male",2012-02-17,5031,2012,7,"England & Wales","Total"
"1762","Total","Female",2012-02-17,5501,2012,7,"England & Wales","Total"
"1763","Under 1 year","Male",2012-02-17,30,2012,7,"England & Wales","Under 1 year"
"1764","Under 1 year","Female",2012-02-17,23,2012,7,"England & Wales","Under 1 year"
"1765","01-14","Male",2012-02-17,11,2012,7,"England & Wales","01-14"
"1766","01-14","Female",2012-02-17,5,2012,7,"England & Wales","01-14"
"1767","15-44","Male",2012-02-17,186,2012,7,"England & Wales","15-44"
"1768","15-44","Female",2012-02-17,104,2012,7,"England & Wales","15-44"
"1769","45-64","Male",2012-02-17,683,2012,7,"England & Wales","45-64"
"1770","45-64","Female",2012-02-17,481,2012,7,"England & Wales","45-64"
"1771","65-74","Male",2012-02-17,950,2012,7,"England & Wales","65-74"
"1772","65-74","Female",2012-02-17,689,2012,7,"England & Wales","65-74"
"1773","75-84","Male",2012-02-17,1601,2012,7,"England & Wales","75-84"
"1774","75-84","Female",2012-02-17,1517,2012,7,"England & Wales","75-84"
"1775","85+","Male",2012-02-17,1570,2012,7,"England & Wales","85+"
"1776","85+","Female",2012-02-17,2682,2012,7,"England & Wales","85+"
"1777","Total","Male",2012-02-24,5269,2012,8,"England & Wales","Total"
"1778","Total","Female",2012-02-24,5812,2012,8,"England & Wales","Total"
"1779","Under 1 year","Male",2012-02-24,47,2012,8,"England & Wales","Under 1 year"
"1780","Under 1 year","Female",2012-02-24,28,2012,8,"England & Wales","Under 1 year"
"1781","01-14","Male",2012-02-24,12,2012,8,"England & Wales","01-14"
"1782","01-14","Female",2012-02-24,2,2012,8,"England & Wales","01-14"
"1783","15-44","Male",2012-02-24,224,2012,8,"England & Wales","15-44"
"1784","15-44","Female",2012-02-24,96,2012,8,"England & Wales","15-44"
"1785","45-64","Male",2012-02-24,701,2012,8,"England & Wales","45-64"
"1786","45-64","Female",2012-02-24,519,2012,8,"England & Wales","45-64"
"1787","65-74","Male",2012-02-24,967,2012,8,"England & Wales","65-74"
"1788","65-74","Female",2012-02-24,700,2012,8,"England & Wales","65-74"
"1789","75-84","Male",2012-02-24,1622,2012,8,"England & Wales","75-84"
"1790","75-84","Female",2012-02-24,1612,2012,8,"England & Wales","75-84"
"1791","85+","Male",2012-02-24,1696,2012,8,"England & Wales","85+"
"1792","85+","Female",2012-02-24,2855,2012,8,"England & Wales","85+"
"1793","Total","Male",2012-03-02,5159,2012,9,"England & Wales","Total"
"1794","Total","Female",2012-03-02,5780,2012,9,"England & Wales","Total"
"1795","Under 1 year","Male",2012-03-02,33,2012,9,"England & Wales","Under 1 year"
"1796","Under 1 year","Female",2012-03-02,22,2012,9,"England & Wales","Under 1 year"
"1797","01-14","Male",2012-03-02,15,2012,9,"England & Wales","01-14"
"1798","01-14","Female",2012-03-02,7,2012,9,"England & Wales","01-14"
"1799","15-44","Male",2012-03-02,183,2012,9,"England & Wales","15-44"
"1800","15-44","Female",2012-03-02,95,2012,9,"England & Wales","15-44"
"1801","45-64","Male",2012-03-02,767,2012,9,"England & Wales","45-64"
"1802","45-64","Female",2012-03-02,543,2012,9,"England & Wales","45-64"
"1803","65-74","Male",2012-03-02,951,2012,9,"England & Wales","65-74"
"1804","65-74","Female",2012-03-02,663,2012,9,"England & Wales","65-74"
"1805","75-84","Male",2012-03-02,1686,2012,9,"England & Wales","75-84"
"1806","75-84","Female",2012-03-02,1600,2012,9,"England & Wales","75-84"
"1807","85+","Male",2012-03-02,1524,2012,9,"England & Wales","85+"
"1808","85+","Female",2012-03-02,2850,2012,9,"England & Wales","85+"
"1809","Total","Male",2012-03-09,4948,2012,10,"England & Wales","Total"
"1810","Total","Female",2012-03-09,5557,2012,10,"England & Wales","Total"
"1811","Under 1 year","Male",2012-03-09,34,2012,10,"England & Wales","Under 1 year"
"1812","Under 1 year","Female",2012-03-09,23,2012,10,"England & Wales","Under 1 year"
"1813","01-14","Male",2012-03-09,8,2012,10,"England & Wales","01-14"
"1814","01-14","Female",2012-03-09,8,2012,10,"England & Wales","01-14"
"1815","15-44","Male",2012-03-09,225,2012,10,"England & Wales","15-44"
"1816","15-44","Female",2012-03-09,93,2012,10,"England & Wales","15-44"
"1817","45-64","Male",2012-03-09,685,2012,10,"England & Wales","45-64"
"1818","45-64","Female",2012-03-09,500,2012,10,"England & Wales","45-64"
"1819","65-74","Male",2012-03-09,907,2012,10,"England & Wales","65-74"
"1820","65-74","Female",2012-03-09,678,2012,10,"England & Wales","65-74"
"1821","75-84","Male",2012-03-09,1600,2012,10,"England & Wales","75-84"
"1822","75-84","Female",2012-03-09,1474,2012,10,"England & Wales","75-84"
"1823","85+","Male",2012-03-09,1489,2012,10,"England & Wales","85+"
"1824","85+","Female",2012-03-09,2781,2012,10,"England & Wales","85+"
"1825","Total","Male",2012-03-16,4816,2012,11,"England & Wales","Total"
"1826","Total","Female",2012-03-16,5225,2012,11,"England & Wales","Total"
"1827","Under 1 year","Male",2012-03-16,35,2012,11,"England & Wales","Under 1 year"
"1828","Under 1 year","Female",2012-03-16,23,2012,11,"England & Wales","Under 1 year"
"1829","01-14","Male",2012-03-16,13,2012,11,"England & Wales","01-14"
"1830","01-14","Female",2012-03-16,5,2012,11,"England & Wales","01-14"
"1831","15-44","Male",2012-03-16,165,2012,11,"England & Wales","15-44"
"1832","15-44","Female",2012-03-16,105,2012,11,"England & Wales","15-44"
"1833","45-64","Male",2012-03-16,741,2012,11,"England & Wales","45-64"
"1834","45-64","Female",2012-03-16,497,2012,11,"England & Wales","45-64"
"1835","65-74","Male",2012-03-16,867,2012,11,"England & Wales","65-74"
"1836","65-74","Female",2012-03-16,618,2012,11,"England & Wales","65-74"
"1837","75-84","Male",2012-03-16,1551,2012,11,"England & Wales","75-84"
"1838","75-84","Female",2012-03-16,1439,2012,11,"England & Wales","75-84"
"1839","85+","Male",2012-03-16,1444,2012,11,"England & Wales","85+"
"1840","85+","Female",2012-03-16,2538,2012,11,"England & Wales","85+"
"1841","Total","Male",2012-03-23,4735,2012,12,"England & Wales","Total"
"1842","Total","Female",2012-03-23,5127,2012,12,"England & Wales","Total"
"1843","Under 1 year","Male",2012-03-23,40,2012,12,"England & Wales","Under 1 year"
"1844","Under 1 year","Female",2012-03-23,27,2012,12,"England & Wales","Under 1 year"
"1845","01-14","Male",2012-03-23,17,2012,12,"England & Wales","01-14"
"1846","01-14","Female",2012-03-23,17,2012,12,"England & Wales","01-14"
"1847","15-44","Male",2012-03-23,193,2012,12,"England & Wales","15-44"
"1848","15-44","Female",2012-03-23,103,2012,12,"England & Wales","15-44"
"1849","45-64","Male",2012-03-23,738,2012,12,"England & Wales","45-64"
"1850","45-64","Female",2012-03-23,518,2012,12,"England & Wales","45-64"
"1851","65-74","Male",2012-03-23,893,2012,12,"England & Wales","65-74"
"1852","65-74","Female",2012-03-23,633,2012,12,"England & Wales","65-74"
"1853","75-84","Male",2012-03-23,1476,2012,12,"England & Wales","75-84"
"1854","75-84","Female",2012-03-23,1401,2012,12,"England & Wales","75-84"
"1855","85+","Male",2012-03-23,1378,2012,12,"England & Wales","85+"
"1856","85+","Female",2012-03-23,2428,2012,12,"England & Wales","85+"
"1857","Total","Male",2012-03-30,4648,2012,13,"England & Wales","Total"
"1858","Total","Female",2012-03-30,4983,2012,13,"England & Wales","Total"
"1859","Under 1 year","Male",2012-03-30,39,2012,13,"England & Wales","Under 1 year"
"1860","Under 1 year","Female",2012-03-30,22,2012,13,"England & Wales","Under 1 year"
"1861","01-14","Male",2012-03-30,13,2012,13,"England & Wales","01-14"
"1862","01-14","Female",2012-03-30,8,2012,13,"England & Wales","01-14"
"1863","15-44","Male",2012-03-30,197,2012,13,"England & Wales","15-44"
"1864","15-44","Female",2012-03-30,93,2012,13,"England & Wales","15-44"
"1865","45-64","Male",2012-03-30,711,2012,13,"England & Wales","45-64"
"1866","45-64","Female",2012-03-30,459,2012,13,"England & Wales","45-64"
"1867","65-74","Male",2012-03-30,885,2012,13,"England & Wales","65-74"
"1868","65-74","Female",2012-03-30,656,2012,13,"England & Wales","65-74"
"1869","75-84","Male",2012-03-30,1421,2012,13,"England & Wales","75-84"
"1870","75-84","Female",2012-03-30,1348,2012,13,"England & Wales","75-84"
"1871","85+","Male",2012-03-30,1382,2012,13,"England & Wales","85+"
"1872","85+","Female",2012-03-30,2397,2012,13,"England & Wales","85+"
"1873","Total","Male",2012-04-06,4113,2012,14,"England & Wales","Total"
"1874","Total","Female",2012-04-06,4406,2012,14,"England & Wales","Total"
"1875","Under 1 year","Male",2012-04-06,32,2012,14,"England & Wales","Under 1 year"
"1876","Under 1 year","Female",2012-04-06,18,2012,14,"England & Wales","Under 1 year"
"1877","01-14","Male",2012-04-06,12,2012,14,"England & Wales","01-14"
"1878","01-14","Female",2012-04-06,11,2012,14,"England & Wales","01-14"
"1879","15-44","Male",2012-04-06,192,2012,14,"England & Wales","15-44"
"1880","15-44","Female",2012-04-06,109,2012,14,"England & Wales","15-44"
"1881","45-64","Male",2012-04-06,642,2012,14,"England & Wales","45-64"
"1882","45-64","Female",2012-04-06,430,2012,14,"England & Wales","45-64"
"1883","65-74","Male",2012-04-06,788,2012,14,"England & Wales","65-74"
"1884","65-74","Female",2012-04-06,526,2012,14,"England & Wales","65-74"
"1885","75-84","Male",2012-04-06,1295,2012,14,"England & Wales","75-84"
"1886","75-84","Female",2012-04-06,1183,2012,14,"England & Wales","75-84"
"1887","85+","Male",2012-04-06,1152,2012,14,"England & Wales","85+"
"1888","85+","Female",2012-04-06,2129,2012,14,"England & Wales","85+"
"1889","Total","Male",2012-04-13,4749,2012,15,"England & Wales","Total"
"1890","Total","Female",2012-04-13,5243,2012,15,"England & Wales","Total"
"1891","Under 1 year","Male",2012-04-13,35,2012,15,"England & Wales","Under 1 year"
"1892","Under 1 year","Female",2012-04-13,30,2012,15,"England & Wales","Under 1 year"
"1893","01-14","Male",2012-04-13,15,2012,15,"England & Wales","01-14"
"1894","01-14","Female",2012-04-13,11,2012,15,"England & Wales","01-14"
"1895","15-44","Male",2012-04-13,178,2012,15,"England & Wales","15-44"
"1896","15-44","Female",2012-04-13,100,2012,15,"England & Wales","15-44"
"1897","45-64","Male",2012-04-13,659,2012,15,"England & Wales","45-64"
"1898","45-64","Female",2012-04-13,496,2012,15,"England & Wales","45-64"
"1899","65-74","Male",2012-04-13,978,2012,15,"England & Wales","65-74"
"1900","65-74","Female",2012-04-13,661,2012,15,"England & Wales","65-74"
"1901","75-84","Male",2012-04-13,1509,2012,15,"England & Wales","75-84"
"1902","75-84","Female",2012-04-13,1450,2012,15,"England & Wales","75-84"
"1903","85+","Male",2012-04-13,1375,2012,15,"England & Wales","85+"
"1904","85+","Female",2012-04-13,2495,2012,15,"England & Wales","85+"
"1905","Total","Male",2012-04-20,5165,2012,16,"England & Wales","Total"
"1906","Total","Female",2012-04-20,5642,2012,16,"England & Wales","Total"
"1907","Under 1 year","Male",2012-04-20,46,2012,16,"England & Wales","Under 1 year"
"1908","Under 1 year","Female",2012-04-20,26,2012,16,"England & Wales","Under 1 year"
"1909","01-14","Male",2012-04-20,12,2012,16,"England & Wales","01-14"
"1910","01-14","Female",2012-04-20,6,2012,16,"England & Wales","01-14"
"1911","15-44","Male",2012-04-20,175,2012,16,"England & Wales","15-44"
"1912","15-44","Female",2012-04-20,131,2012,16,"England & Wales","15-44"
"1913","45-64","Male",2012-04-20,783,2012,16,"England & Wales","45-64"
"1914","45-64","Female",2012-04-20,530,2012,16,"England & Wales","45-64"
"1915","65-74","Male",2012-04-20,981,2012,16,"England & Wales","65-74"
"1916","65-74","Female",2012-04-20,751,2012,16,"England & Wales","65-74"
"1917","75-84","Male",2012-04-20,1663,2012,16,"England & Wales","75-84"
"1918","75-84","Female",2012-04-20,1568,2012,16,"England & Wales","75-84"
"1919","85+","Male",2012-04-20,1505,2012,16,"England & Wales","85+"
"1920","85+","Female",2012-04-20,2630,2012,16,"England & Wales","85+"
"1921","Total","Male",2012-04-27,4896,2012,17,"England & Wales","Total"
"1922","Total","Female",2012-04-27,5341,2012,17,"England & Wales","Total"
"1923","Under 1 year","Male",2012-04-27,34,2012,17,"England & Wales","Under 1 year"
"1924","Under 1 year","Female",2012-04-27,26,2012,17,"England & Wales","Under 1 year"
"1925","01-14","Male",2012-04-27,12,2012,17,"England & Wales","01-14"
"1926","01-14","Female",2012-04-27,9,2012,17,"England & Wales","01-14"
"1927","15-44","Male",2012-04-27,177,2012,17,"England & Wales","15-44"
"1928","15-44","Female",2012-04-27,111,2012,17,"England & Wales","15-44"
"1929","45-64","Male",2012-04-27,713,2012,17,"England & Wales","45-64"
"1930","45-64","Female",2012-04-27,514,2012,17,"England & Wales","45-64"
"1931","65-74","Male",2012-04-27,961,2012,17,"England & Wales","65-74"
"1932","65-74","Female",2012-04-27,646,2012,17,"England & Wales","65-74"
"1933","75-84","Male",2012-04-27,1583,2012,17,"England & Wales","75-84"
"1934","75-84","Female",2012-04-27,1403,2012,17,"England & Wales","75-84"
"1935","85+","Male",2012-04-27,1416,2012,17,"England & Wales","85+"
"1936","85+","Female",2012-04-27,2632,2012,17,"England & Wales","85+"
"1937","Total","Male",2012-05-04,4733,2012,18,"England & Wales","Total"
"1938","Total","Female",2012-05-04,5222,2012,18,"England & Wales","Total"
"1939","Under 1 year","Male",2012-05-04,32,2012,18,"England & Wales","Under 1 year"
"1940","Under 1 year","Female",2012-05-04,28,2012,18,"England & Wales","Under 1 year"
"1941","01-14","Male",2012-05-04,14,2012,18,"England & Wales","01-14"
"1942","01-14","Female",2012-05-04,11,2012,18,"England & Wales","01-14"
"1943","15-44","Male",2012-05-04,200,2012,18,"England & Wales","15-44"
"1944","15-44","Female",2012-05-04,101,2012,18,"England & Wales","15-44"
"1945","45-64","Male",2012-05-04,686,2012,18,"England & Wales","45-64"
"1946","45-64","Female",2012-05-04,485,2012,18,"England & Wales","45-64"
"1947","65-74","Male",2012-05-04,952,2012,18,"England & Wales","65-74"
"1948","65-74","Female",2012-05-04,663,2012,18,"England & Wales","65-74"
"1949","75-84","Male",2012-05-04,1502,2012,18,"England & Wales","75-84"
"1950","75-84","Female",2012-05-04,1434,2012,18,"England & Wales","75-84"
"1951","85+","Male",2012-05-04,1347,2012,18,"England & Wales","85+"
"1952","85+","Female",2012-05-04,2500,2012,18,"England & Wales","85+"
"1953","Total","Male",2012-05-11,4239,2012,19,"England & Wales","Total"
"1954","Total","Female",2012-05-11,4618,2012,19,"England & Wales","Total"
"1955","Under 1 year","Male",2012-05-11,36,2012,19,"England & Wales","Under 1 year"
"1956","Under 1 year","Female",2012-05-11,18,2012,19,"England & Wales","Under 1 year"
"1957","01-14","Male",2012-05-11,5,2012,19,"England & Wales","01-14"
"1958","01-14","Female",2012-05-11,11,2012,19,"England & Wales","01-14"
"1959","15-44","Male",2012-05-11,137,2012,19,"England & Wales","15-44"
"1960","15-44","Female",2012-05-11,104,2012,19,"England & Wales","15-44"
"1961","45-64","Male",2012-05-11,635,2012,19,"England & Wales","45-64"
"1962","45-64","Female",2012-05-11,428,2012,19,"England & Wales","45-64"
"1963","65-74","Male",2012-05-11,802,2012,19,"England & Wales","65-74"
"1964","65-74","Female",2012-05-11,568,2012,19,"England & Wales","65-74"
"1965","75-84","Male",2012-05-11,1374,2012,19,"England & Wales","75-84"
"1966","75-84","Female",2012-05-11,1278,2012,19,"England & Wales","75-84"
"1967","85+","Male",2012-05-11,1250,2012,19,"England & Wales","85+"
"1968","85+","Female",2012-05-11,2211,2012,19,"England & Wales","85+"
"1969","Total","Male",2012-05-18,4828,2012,20,"England & Wales","Total"
"1970","Total","Female",2012-05-18,5075,2012,20,"England & Wales","Total"
"1971","Under 1 year","Male",2012-05-18,40,2012,20,"England & Wales","Under 1 year"
"1972","Under 1 year","Female",2012-05-18,27,2012,20,"England & Wales","Under 1 year"
"1973","01-14","Male",2012-05-18,13,2012,20,"England & Wales","01-14"
"1974","01-14","Female",2012-05-18,10,2012,20,"England & Wales","01-14"
"1975","15-44","Male",2012-05-18,205,2012,20,"England & Wales","15-44"
"1976","15-44","Female",2012-05-18,101,2012,20,"England & Wales","15-44"
"1977","45-64","Male",2012-05-18,713,2012,20,"England & Wales","45-64"
"1978","45-64","Female",2012-05-18,499,2012,20,"England & Wales","45-64"
"1979","65-74","Male",2012-05-18,967,2012,20,"England & Wales","65-74"
"1980","65-74","Female",2012-05-18,676,2012,20,"England & Wales","65-74"
"1981","75-84","Male",2012-05-18,1496,2012,20,"England & Wales","75-84"
"1982","75-84","Female",2012-05-18,1395,2012,20,"England & Wales","75-84"
"1983","85+","Male",2012-05-18,1394,2012,20,"England & Wales","85+"
"1984","85+","Female",2012-05-18,2367,2012,20,"England & Wales","85+"
"1985","Total","Male",2012-05-25,4599,2012,21,"England & Wales","Total"
"1986","Total","Female",2012-05-25,5003,2012,21,"England & Wales","Total"
"1987","Under 1 year","Male",2012-05-25,37,2012,21,"England & Wales","Under 1 year"
"1988","Under 1 year","Female",2012-05-25,21,2012,21,"England & Wales","Under 1 year"
"1989","01-14","Male",2012-05-25,16,2012,21,"England & Wales","01-14"
"1990","01-14","Female",2012-05-25,10,2012,21,"England & Wales","01-14"
"1991","15-44","Male",2012-05-25,175,2012,21,"England & Wales","15-44"
"1992","15-44","Female",2012-05-25,98,2012,21,"England & Wales","15-44"
"1993","45-64","Male",2012-05-25,701,2012,21,"England & Wales","45-64"
"1994","45-64","Female",2012-05-25,476,2012,21,"England & Wales","45-64"
"1995","65-74","Male",2012-05-25,937,2012,21,"England & Wales","65-74"
"1996","65-74","Female",2012-05-25,685,2012,21,"England & Wales","65-74"
"1997","75-84","Male",2012-05-25,1474,2012,21,"England & Wales","75-84"
"1998","75-84","Female",2012-05-25,1365,2012,21,"England & Wales","75-84"
"1999","85+","Male",2012-05-25,1259,2012,21,"England & Wales","85+"
"2000","85+","Female",2012-05-25,2348,2012,21,"England & Wales","85+"
"2001","Total","Male",2012-06-01,4624,2012,22,"England & Wales","Total"
"2002","Total","Female",2012-06-01,4973,2012,22,"England & Wales","Total"
"2003","Under 1 year","Male",2012-06-01,34,2012,22,"England & Wales","Under 1 year"
"2004","Under 1 year","Female",2012-06-01,26,2012,22,"England & Wales","Under 1 year"
"2005","01-14","Male",2012-06-01,13,2012,22,"England & Wales","01-14"
"2006","01-14","Female",2012-06-01,10,2012,22,"England & Wales","01-14"
"2007","15-44","Male",2012-06-01,209,2012,22,"England & Wales","15-44"
"2008","15-44","Female",2012-06-01,94,2012,22,"England & Wales","15-44"
"2009","45-64","Male",2012-06-01,718,2012,22,"England & Wales","45-64"
"2010","45-64","Female",2012-06-01,472,2012,22,"England & Wales","45-64"
"2011","65-74","Male",2012-06-01,862,2012,22,"England & Wales","65-74"
"2012","65-74","Female",2012-06-01,680,2012,22,"England & Wales","65-74"
"2013","75-84","Male",2012-06-01,1538,2012,22,"England & Wales","75-84"
"2014","75-84","Female",2012-06-01,1335,2012,22,"England & Wales","75-84"
"2015","85+","Male",2012-06-01,1250,2012,22,"England & Wales","85+"
"2016","85+","Female",2012-06-01,2356,2012,22,"England & Wales","85+"
"2017","Total","Male",2012-06-08,3203,2012,23,"England & Wales","Total"
"2018","Total","Female",2012-06-08,3578,2012,23,"England & Wales","Total"
"2019","Under 1 year","Male",2012-06-08,20,2012,23,"England & Wales","Under 1 year"
"2020","Under 1 year","Female",2012-06-08,22,2012,23,"England & Wales","Under 1 year"
"2021","01-14","Male",2012-06-08,6,2012,23,"England & Wales","01-14"
"2022","01-14","Female",2012-06-08,3,2012,23,"England & Wales","01-14"
"2023","15-44","Male",2012-06-08,98,2012,23,"England & Wales","15-44"
"2024","15-44","Female",2012-06-08,87,2012,23,"England & Wales","15-44"
"2025","45-64","Male",2012-06-08,485,2012,23,"England & Wales","45-64"
"2026","45-64","Female",2012-06-08,361,2012,23,"England & Wales","45-64"
"2027","65-74","Male",2012-06-08,649,2012,23,"England & Wales","65-74"
"2028","65-74","Female",2012-06-08,481,2012,23,"England & Wales","65-74"
"2029","75-84","Male",2012-06-08,1030,2012,23,"England & Wales","75-84"
"2030","75-84","Female",2012-06-08,991,2012,23,"England & Wales","75-84"
"2031","85+","Male",2012-06-08,915,2012,23,"England & Wales","85+"
"2032","85+","Female",2012-06-08,1633,2012,23,"England & Wales","85+"
"2033","Total","Male",2012-06-15,4947,2012,24,"England & Wales","Total"
"2034","Total","Female",2012-06-15,5223,2012,24,"England & Wales","Total"
